store_id,place_id,store_name,address,city,region,lat,lng,rating,review_count,price_level,business_status,category,annual_sales_usd,lines_per_store,covered,source,phone,opening_hours,website,poi_count,google_types,vicinity,banner,format,reckitt_target
ChIJt7ckcgABAzEROPvqGc1ZgiQ,ChIJt7ckcgABAzEROPvqGc1ZgiQ,79 mini store,"HCV7+Q74, Unnamed Road, Tambon Phe",Amphoe Mueang Rayong,Chon Buri,12.594384,101.4132,5,1,0,Active,convenience_store,0,0,FALSE,scraped,,,,0,"['convenience_store', 'store', 'point_of_interest', 'food', 'establishment']","HCV7+Q74, Unnamed Road, Tambon Phe, Amphoe Mueang Rayong",Independent store,Mini-mart / grocer,TARGET — Independent store
ChIJsb8hJAAHAzERXscE2KatN1U,ChIJsb8hJAAHAzERXscE2KatN1U,Islander Shore Shop,Islander,เมือง,Chon Buri,12.5673074,101.4648402,3,2,0,Active,convenience_store,0,0,FALSE,scraped,,,,0,"['convenience_store', 'food', 'store', 'point_of_interest', 'establishment']","Islander, เมือง",Independent shop / mart,Mini-mart,TARGET — Likely independent
ChIJOYguJ9MBAzER_n3lyyAZvnA,ChIJOYguJ9MBAzER_n3lyyAZvnA,ช้างชน SHOP,"39/5 Naichak-Nairai, Tambon Taphong",Amphoe Mueang Rayong,Chon Buri,12.6315068,101.379174,5,1,0,Active,convenience_store,0,0,FALSE,scraped,,,,0,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']","39/5 Naichak-Nairai, Tambon Taphong, Amphoe Mueang Rayong",Independent shop / mart,Mini-mart,TARGET — Likely independent
ChIJHdJoq8kHAzERIHnDD29FHFE,ChIJHdJoq8kHAzERIHnDD29FHFE,MA ทุกอย่าง20บาท,310/15 หมู่2 บ้านเพ,อำเภอเมือง,Chon Buri,12.6299351,101.445783,5,1,0,Active,convenience_store,0,0,FALSE,scraped,092 542 6985,Monday: 10:00 AM – 8:00 PM | Tuesday: 10:00 AM – 8:00 PM | Wednesday: 10:00 AM – 8:00 PM | Thursday: 10:00 AM – 8:00 PM | Friday: 10:00 AM – 8:00 PM | Saturday: 10:00 AM – 8:00 PM | Sunday: 10:00 AM – 8:00 PM,,0,"['convenience_store', 'food', 'store', 'point_of_interest', 'establishment']","310/15 หมู่2 บ้านเพ, อำเภอเมือง",Unknown independent convenience,Convenience,"REVIEW — Independent, likely target"
ChIJT2dVzTQHAzERfzymFySLJfg,ChIJT2dVzTQHAzERfzymFySLJfg,WTK วัฒนานุกิจ เอ็กซ์เพลส (สาขาบ้านเพ),"161, 9 ซอย สังกะสี, บ้านเพ",Amphoe Mueang Rayong,Chon Buri,12.631952,101.4364182,3.9,23,0,Active,convenience_store,0,0,FALSE,scraped,099 248 9188,Monday: 7:30 AM – 8:00 PM | Tuesday: 7:30 AM – 8:00 PM | Wednesday: 7:30 AM – 8:00 PM | Thursday: 7:30 AM – 8:00 PM | Friday: 7:30 AM – 8:00 PM | Saturday: 7:30 AM – 8:00 PM | Sunday: 7:30 AM – 8:00 PM,https://www.facebook.com/wattananukit.express/,0,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'food', 'store', 'point_of_interest', 'establishment']","161, 9 ซอย สังกะสี, บ้านเพ, Amphoe Mueang Rayong",WTK Wathananukit,Regional supermarket,TARGET — Regional chain (verify if direct)
ChIJ52BkUgINAzERI-iDyBrenjk,ChIJ52BkUgINAzERI-iDyBrenjk,Mighty Tricky Drinks and More + Mighty Mini Mart,"Mae Pim Beach, 236/7 Moo 3, T, Tambon Kram",Amphoe Klaeng,Chon Buri,12.6448008,101.6326336,4.9,26,0,Active,convenience_store,0,0,FALSE,scraped,085 156 5379,Monday: 4:00 – 11:30 PM | Tuesday: 4:00 – 11:30 PM | Wednesday: 5:00 – 11:30 PM | Thursday: 4:00 – 11:30 PM | Friday: 3:00 PM – 1:30 AM | Saturday: 3:00 PM – 1:30 AM | Sunday: 4:00 – 11:30 PM,https://www.facebook.com/Mighty-Tricky-Drinks-and-More-386992675497488/,0,"['bar', 'convenience_store', 'food', 'point_of_interest', 'store', 'establishment']","Mae Pim Beach, 236/7 Moo 3, T, Tambon Kram, Amphoe Klaeng",Independent mini-mart,Mini-mart,TARGET — Independent mini-mart
ChIJJ7egxIsNAzERyOSXK3c8_co,ChIJJ7egxIsNAzERyOSXK3c8_co,Aokhai Minimart,"231, กร่ำ",Amphoe Klaeng,Chon Buri,12.643831,101.6417973,5,1,0,Active,convenience_store,0,0,FALSE,scraped,081 550 1348,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://www.facebook.com/baansuanaokhaibeachresorts?locale=th_TH,0,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']","231, กร่ำ, Amphoe Klaeng",Independent mini-mart,Mini-mart,TARGET — Independent mini-mart
ChIJ-5uweQDxAjERF0_CsJidMxY,ChIJ-5uweQDxAjERF0_CsJidMxY,7 eleven,M4M8+JM2,Mueang Rayong District,Chon Buri,12.6839923,101.1166872,0,0,0,Active,convenience_store,0,0,FALSE,scraped,,,https://www.7eleven.co.th/,0,"['convenience_store', 'store', 'food', 'point_of_interest', 'establishment']","M4M8+JM2, Mueang Rayong District",Unknown independent convenience,Convenience,"REVIEW — Independent, likely target"
ChIJ8za-fgCNAjERevN3t4lWvMQ,ChIJ8za-fgCNAjERevN3t4lWvMQ,Cjพลูตาหลวง,"55/1 Phlu Ta Luang 23, Tambon Phlu Ta Luang",Amphoe Sattahip,Chon Buri,12.7100875,100.9742775,5,2,0,Active,convenience_store,0,0,FALSE,scraped,,,,0,"['convenience_store', 'point_of_interest', 'food', 'store', 'establishment']","55/1 Phlu Ta Luang 23, Tambon Phlu Ta Luang, Amphoe Sattahip",Unknown independent convenience,Convenience,"REVIEW — Independent, likely target"
ChIJFSltiFvzAjERdem04F7xcZs,ChIJFSltiFvzAjERdem04F7xcZs,Grocery store,"MXGX+C2W, Phla",Ban Chang District,Chon Buri,12.6761139,100.9975699,5,1,0,Active,convenience_store,0,0,FALSE,scraped,,Monday: 8:00 AM – 9:00 PM | Tuesday: 8:00 AM – 9:00 PM | Wednesday: 8:00 AM – 9:00 PM | Thursday: 8:00 AM – 9:00 PM | Friday: 8:00 AM – 9:00 PM | Saturday: 8:00 AM – 9:00 PM | Sunday: 8:00 AM – 9:00 PM,,0,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']","MXGX+C2W, Phla, Ban Chang District",Independent store,Mini-mart / grocer,TARGET — Independent store
ChIJqXd7DwDzAjERXSobuIO7bNY,ChIJqXd7DwDzAjERXSobuIO7bNY,7 Eleven พยูน 42 สาขา 19191,"72 Phayun, Tambon Ban Chang",Amphoe Ban Chang,Chon Buri,12.6982971,101.0615148,3,6,0,Active,convenience_store,0,0,FALSE,scraped,,,https://www.7eleven.co.th/,0,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']","72 Phayun, Tambon Ban Chang, Amphoe Ban Chang",Unknown independent convenience,Convenience,"REVIEW — Independent, likely target"
ChIJX0JVn-PzAjERf9nJJlzwOWc,ChIJX0JVn-PzAjERf9nJJlzwOWc,ป๊อปปี้ มินิมาร์ท (Poppy Minimart),"91, 1, Tambon Ban Chang",Amphoe Ban Chang,Chon Buri,12.6799647,101.0669476,0,0,0,Temporarily Closed,convenience_store,0,0,FALSE,scraped,089 939 5793,,https://www.facebook.com/rungthiwa.phudmanee,0,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']","91, 1, Tambon Ban Chang, Amphoe Ban Chang",Independent mini-mart,Mini-mart,TARGET — Independent mini-mart
ChIJp1wjQQDzAjERMTNGOS9ZyV0,ChIJp1wjQQDzAjERMTNGOS9ZyV0,7 eleven,Ban Chang,Ban Chang District,Chon Buri,12.6768492,101.0670053,4.4,7,0,Active,convenience_store,0,0,FALSE,scraped,,,https://www.7eleven.co.th/,0,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']","Ban Chang, Ban Chang District",Unknown independent convenience,Convenience,"REVIEW — Independent, likely target"
