store_id,place_id,store_name,address,city,region,lat,lng,rating,review_count,price_level,business_status,category,annual_sales_usd,lines_per_store,covered,source,phone,opening_hours,website,poi_count,google_types,vicinity
ChIJoSahwGiXzTERRdEjkMiYwcE,ChIJoSahwGiXzTERRdEjkMiYwcE,Shell,"5, 5 Lot 2921, Kampung Kundang",Tanjong Sepat,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.666983,101.537713,3.7,65,2,Active,convenience_store,0.0,0,False,scraped,03-3148 2059,Monday: 6:30 AM – 11:00 PM | Tuesday: 6:30 AM – 11:00 PM | Wednesday: 6:30 AM – 11:00 PM | Thursday: 6:30 AM – 11:00 PM | Friday: 6:30 AM – 11:00 PM | Saturday: 6:30 AM – 11:00 PM | Sunday: 6:30 AM – 11:00 PM,https://find.shell.com/my/fuel/10208743-shell-tanjung-sepat/en_MY,0,"['gas_station', 'convenience_store', 'store', 'point_of_interest', 'food', 'establishment']","5, 5 Lot 2921, Kampung Kundang, Tanjong Sepat"
ChIJ0ckDX52ZzTER0uKNPdlbyk8,ChIJ0ckDX52ZzTER0uKNPdlbyk8,Kedai runcit noorziat enterprise,Kampung Jangin,Tanjong Sepat,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.6757578,101.5153573,5.0,1,0,Active,convenience_store,0.0,0,False,scraped,,,,0,"['convenience_store', 'store', 'point_of_interest', 'food', 'establishment']","Kampung Jangin, Tanjong Sepat"
ChIJWfG-vaqXzTERMZjjo6v3Ty4,ChIJWfG-vaqXzTERMZjjo6v3Ty4,Kedai Runcit Hj Painan,"Jalan Sekolah, Kampung Tanjung Sepat Darat",Tanjong Sepat,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.6740621,101.559195,0.0,0,0,Active,convenience_store,0.0,0,False,scraped,019-331 8905,Monday: 6:30 AM – 10:00 PM | Tuesday: 6:30 AM – 10:00 PM | Wednesday: 6:30 AM – 10:00 PM | Thursday: 6:30 AM – 10:00 PM | Friday: 6:30 AM – 10:00 PM | Saturday: 6:30 AM – 10:00 PM | Sunday: 6:30 AM – 10:00 PM,,0,"['convenience_store', 'store', 'point_of_interest', 'food', 'establishment']","Jalan Sekolah, Kampung Tanjung Sepat Darat, Tanjong Sepat"
ChIJze0abhjrzTERKb4g8BeGR0M,ChIJze0abhjrzTERKb4g8BeGR0M,HME Mart,"No. 3227, Jalan Balai Raya, Kg.Hulu Chuchuh",Sungai Pelek,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.678050599999999,101.6849886,0.0,0,0,Active,convenience_store,0.0,0,False,scraped,019-301 7956,Monday: 6:00 AM – 11:00 PM | Tuesday: 6:00 AM – 11:00 PM | Wednesday: 6:00 AM – 11:00 PM | Thursday: 6:00 AM – 11:00 PM | Friday: 6:00 AM – 11:00 PM | Saturday: 6:00 AM – 11:00 PM | Sunday: 6:00 AM – 11:00 PM,,0,"['convenience_store', 'food', 'store', 'point_of_interest', 'establishment']","No. 3227, Jalan Balai Raya, Kg.Hulu Chuchuh, Sungai Pelek"
ChIJ1WSJFgCVzTERKN1GPVSVXkY,ChIJ1WSJFgCVzTERKN1GPVSVXkY,mohamad haron,Jalan Besar,Kampung Hulu Chuchoh,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.6756202,101.6809515,0.0,0,0,Active,convenience_store,0.0,0,False,scraped,,,,0,"['convenience_store', 'food', 'store', 'point_of_interest', 'establishment']","Jalan Besar, Kampung Hulu Chuchoh"
ChIJ2dWlGQCVzTERQpAQTF9mFWE,ChIJ2dWlGQCVzTERQpAQTF9mFWE,Puva coway,Klang,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara","Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.6817337,101.6612934,0.0,0,0,Active,convenience_store,0.0,0,False,scraped,016-320 2432,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,,0,"['convenience_store', 'store', 'food', 'point_of_interest', 'establishment']",Klang
ChIJ3_O6Lv_qzTER3zdezToxZXA,ChIJ3_O6Lv_qzTER3zdezToxZXA,7-Eleven Taman Murni,"No 53, Ground Floor, 43900, Jalan Murni 8, Taman Murni",Sepang,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.6858124,101.7503254,3.4,11,0,Active,convenience_store,0.0,0,False,scraped,,Monday: 8:00 AM – 12:00 AM | Tuesday: 8:00 AM – 12:00 AM | Wednesday: 8:00 AM – 12:00 AM | Thursday: 8:00 AM – 12:00 AM | Friday: 8:00 AM – 12:00 AM | Saturday: 8:00 AM – 12:00 AM | Sunday: 8:00 AM – 12:00 AM,http://www.7eleven.com.my/,0,"['convenience_store', 'store', 'point_of_interest', 'food', 'establishment']","No 53, Ground Floor, 43900, Jalan Murni 8, Taman Murni, Sepang"
ChIJjVOEo2PtzTERh_rmsf54Jw0,ChIJjVOEo2PtzTERh_rmsf54Jw0,Perniagaan Johan Stor,"16, Jalan Seri Merbau, 3, Taman Sri Merbau",Sungai Pelek,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.6848466,101.7471712,0.0,0,0,Active,convenience_store,0.0,0,False,scraped,012-298 5181,Monday: 8:00 AM – 8:00 PM | Tuesday: 8:00 AM – 8:00 PM | Wednesday: 8:00 AM – 8:00 PM | Thursday: 8:00 AM – 8:00 PM | Friday: 8:00 AM – 8:00 PM | Saturday: 8:00 AM – 8:00 PM | Sunday: 8:00 AM – 8:00 PM,,0,"['convenience_store', 'store', 'point_of_interest', 'food', 'establishment']","16, Jalan Seri Merbau, 3, Taman Sri Merbau, Sungai Pelek"
ChIJX1UxFvjqzTERUb2gGWO42Bc,ChIJX1UxFvjqzTERUb2gGWO42Bc,99 Speedmart 1369 Pekan Sepang,"Lot 1 & 2, Jalan Besar, Pekan Sepang",Sepang,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.6899047,101.7509608,3.8,53,0,Active,convenience_store,0.0,0,False,scraped,03-3362 6863,Monday: 9:00 AM – 10:00 PM | Tuesday: 9:00 AM – 10:00 PM | Wednesday: 9:00 AM – 10:00 PM | Thursday: 9:00 AM – 10:00 PM | Friday: 9:00 AM – 10:00 PM | Saturday: 9:00 AM – 10:00 PM | Sunday: 9:00 AM – 10:00 PM,http://www.99speedmart.com.my/,0,"['convenience_store', 'store', 'point_of_interest', 'food', 'establishment']","Lot 1 & 2, Jalan Besar, Pekan Sepang, Sepang"
ChIJC3du5PfqzTERYDcfmQgPAnc,ChIJC3du5PfqzTERYDcfmQgPAnc,Shell,Jalan Besar 15,Sepang,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.691474,101.751855,3.8,89,2,Active,convenience_store,0.0,0,False,scraped,03-3142 1279,Monday: 6:00 AM – 12:00 AM | Tuesday: 6:00 AM – 12:00 AM | Wednesday: 6:00 AM – 12:00 AM | Thursday: 6:00 AM – 12:00 AM | Friday: 6:00 AM – 12:00 AM | Saturday: 6:00 AM – 12:00 AM | Sunday: 6:00 AM – 12:00 AM,https://find.shell.com/my/fuel/10208691-shell-pekan-sepang/en_MY,0,"['gas_station', 'convenience_store', 'store', 'point_of_interest', 'food', 'establishment']","Jalan Besar 15, Sepang"
