store_id,place_id,store_name,address,city,region,lat,lng,rating,review_count,price_level,business_status,category,annual_sales_usd,lines_per_store,covered,source,phone,opening_hours,website,poi_count,google_types,vicinity,CHECK,x,x
ChIJe5HPtd-UzTER6UllSxrFj3E,ChIJe5HPtd-UzTER6UllSxrFj3E,Samj Frozen Food Enterprise,Sepang,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara","Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.6793226,101.6856363,5,1,0,Active,grocery_or_supermarket,0,0,FALSE,scraped,019-384 9456,Monday: 8:00 AM – 6:00 PM | Tuesday: 8:00 AM – 6:00 PM | Wednesday: 8:00 AM – 6:00 PM | Thursday: 8:00 AM – 6:00 PM | Friday: 8:00 AM – 6:00 PM | Saturday: Closed | Sunday: Closed,,0,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",Sepang,ChIJe5HPtd-UzTER6UllSxrFj3E,Super/Groceries,
ChIJoeGkEwCZzTERxxB7qEJhxRE,ChIJoeGkEwCZzTERxxB7qEJhxRE,Ehsan Segi Tanjung Sepat,"no 1-3, 5, BizBox, Ehsan Segi, Kampung Batu Laut",Tanjong Sepat,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.675869,101.5149489,4.4,5,0,Active,grocery_or_supermarket,0,0,FALSE,scraped,,Monday: 8:00 AM – 10:00 PM | Tuesday: 8:00 AM – 10:00 PM | Wednesday: 8:00 AM – 10:00 PM | Thursday: 8:00 AM – 10:00 PM | Friday: 8:00 AM – 10:00 PM | Saturday: 8:00 AM – 10:00 PM | Sunday: 8:00 AM – 10:00 PM,,0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']","no 1-3, 5, BizBox, Ehsan Segi, Kampung Batu Laut, Tanjong Sepat",ChIJoeGkEwCZzTERxxB7qEJhxRE,Super/Groceries,
ChIJVdS4MzLrzTER66AUMCPTUH4,ChIJVdS4MzLrzTER66AUMCPTUH4,"Pekan Sepang, 雪邦雪兰莪",Pekan Sepang,Sepang,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.6901806,101.7513035,3,1,0,Active,grocery_or_supermarket,0,0,FALSE,scraped,,,,0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']","Pekan Sepang, Sepang",ChIJVdS4MzLrzTER66AUMCPTUH4,Super/Groceries,
ChIJUe1s5MbnzTERRkSAYxPftBU,ChIJUe1s5MbnzTERRkSAYxPftBU,ANTARRA GROUP SDN BHD,"No. 5-G, Jalan Tiara Sendayan Biz 1, Tiara Sendayan",Seremban,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.7008122,101.8185143,0,0,0,Active,grocery_or_supermarket,0,0,FALSE,scraped,,Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 10:00 PM,https://www.instagram.com/antara_mart?igsh=MTFzN2htcHR3bmJ5aw==,0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']","No. 5-G, Jalan Tiara Sendayan Biz 1, Tiara Sendayan, Seremban",ChIJUe1s5MbnzTERRkSAYxPftBU,Super/Groceries,
ChIJbVMKwSSVaUkRVBcjSs_4J5w,ChIJbVMKwSSVaUkRVBcjSs_4J5w,RR SUPERMART,"No 4-G, Jalan Tiara Sendayan Biz 1 Pusat Komersial Tiara Sendayan",Seremban,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.701678,101.8181245,0,0,0,Active,grocery_or_supermarket,0,0,FALSE,scraped,,Monday: 8:00 – 11:00 AM | Tuesday: 8:00 – 11:00 AM | Wednesday: 8:00 – 11:00 AM | Thursday: 8:00 – 11:00 AM | Friday: 8:00 – 11:00 AM | Saturday: 8:00 – 11:00 AM | Sunday: 8:00 – 11:00 AM,,0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']","No 4-G, Jalan Tiara Sendayan Biz 1 Pusat Komersial Tiara Sendayan, Seremban",ChIJbVMKwSSVaUkRVBcjSs_4J5w,Super/Groceries,
ChIJ3Q1zmsTHzTERt42qX3RN_zU,ChIJ3Q1zmsTHzTERt42qX3RN_zU,Eco Fresh Value Mart - Tiara Sendayan,"49-50, Jalan Tiara Sendayan Biz 1 Pusat Komersial Tiara Sendayan",Labu,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.7013368,101.8211622,3.9,50,0,Active,grocery_or_supermarket,0,0,FALSE,scraped,013-418 1820,Monday: 9:00 AM – 10:00 PM | Tuesday: 9:00 AM – 10:00 PM | Wednesday: 9:00 AM – 10:00 PM | Thursday: 9:00 AM – 10:00 PM | Friday: 9:00 AM – 10:00 PM | Saturday: 9:00 AM – 10:00 PM | Sunday: 9:00 AM – 10:00 PM,http://www.facebook.com/ecofreshfb,0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']","49-50, Jalan Tiara Sendayan Biz 1 Pusat Komersial Tiara Sendayan, Labu",ChIJ3Q1zmsTHzTERt42qX3RN_zU,Super/Groceries,
ChIJocrVoI_pzTER02rrrADJ8GM,ChIJocrVoI_pzTER02rrrADJ8GM,Daniya Store,"221, Jalan Pusat Dagangan Sendayan 3/4",Siliau,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.6811594,101.866739,3.4,47,0,Active,grocery_or_supermarket,0,0,FALSE,scraped,06-781 3967,Monday: 8:00 AM – 10:00 PM | Tuesday: 8:00 AM – 10:00 PM | Wednesday: 8:00 AM – 10:00 PM | Thursday: 8:00 AM – 10:00 PM | Friday: 8:00 AM – 10:00 PM | Saturday: 8:00 AM – 10:00 PM | Sunday: 8:00 AM – 10:00 PM,https://myhighst.com.my/business/listing/daniya-store-sendayan,0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']","221, Jalan Pusat Dagangan Sendayan 3/4, Siliau",ChIJocrVoI_pzTER02rrrADJ8GM,Super/Groceries,
ChIJo641Zn_pzTERoW00zkOZF0g,ChIJo641Zn_pzTERoW00zkOZF0g,TF Value-Mart Bandar Sri Sendayan,"PT 1057, Persiaran Metro Park Sendayan, 1, Persiaran Metro Sendayan",Bandar Sri Sendayan,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.6914291,101.8518341,4.1,32,0,Active,grocery_or_supermarket,0,0,FALSE,scraped,06-672 0408,Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 10:00 PM,https://www.tfvaluemart.com.my/,0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']","PT 1057, Persiaran Metro Park Sendayan, 1, Persiaran Metro Sendayan, Bandar Sri Sendayan",ChIJo641Zn_pzTERoW00zkOZF0g,Super/Groceries,
ChIJtQfcj8XpzTERSyv8BXj_N7o,ChIJtQfcj8XpzTERSyv8BXj_N7o,Ninso Sendayan,"Sendayan Metropark, 53-1 & 53-2, Jalan Metro Sendayan 1/2, Bandar Sri Sendayan",Seremban,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.6852418,101.8461211,4.8,5,0,Active,grocery_or_supermarket,0,0,FALSE,scraped,016-830 1798,Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 10:00 PM,,0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']","Sendayan Metropark, 53-1 & 53-2, Jalan Metro Sendayan 1/2, Bandar Sri Sendayan, Seremban",ChIJtQfcj8XpzTERSyv8BXj_N7o,Super/Groceries,
ChIJmcp0LkjpzTERASwXoHKtQqQ,ChIJmcp0LkjpzTERASwXoHKtQqQ,Pasar Mini Barakath Al Fatimah,"Nusari Biz, 1768, Jalan Nusari Bayu 7/2, Bandar Sri Sendayan",Seremban,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.6679587,101.8748625,3.5,59,0,Active,grocery_or_supermarket,0,0,FALSE,scraped,012-292 7867,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,,0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']","Nusari Biz, 1768, Jalan Nusari Bayu 7/2, Bandar Sri Sendayan, Seremban",ChIJmcp0LkjpzTERASwXoHKtQqQ,Super/Groceries,
