store_id,place_id,store_name,address,city,region,lat,lng,rating,review_count,price_level,business_status,category,annual_sales_usd,lines_per_store,covered,source,phone,opening_hours,website,poi_count,google_types,vicinity,CHECK,CHECK.1,CHECK.2,Reckitt Tier,Reckitt Tier.1,nname,already_being_covered,match_confidence,match_reason,distance_m,matched_portfolio_id,matched_portfolio_name
ChIJe5HPtd-UzTER6UllSxrFj3E,ChIJe5HPtd-UzTER6UllSxrFj3E,Samj Frozen Food Enterprise,Sepang,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara","Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.6793226,101.6856363,5.0,1,0,Active,grocery_or_supermarket,0,0,False,scraped,019-384 9456,Monday: 8:00 AM – 6:00 PM | Tuesday: 8:00 AM – 6:00 PM | Wednesday: 8:00 AM – 6:00 PM | Thursday: 8:00 AM – 6:00 PM | Friday: 8:00 AM – 6:00 PM | Saturday: Closed | Sunday: Closed,,0,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",Sepang,ChIJe5HPtd-UzTER6UllSxrFj3E,Super/Groceries,,Super - Frozen specialist,Tier 2,samj frozen food,NO,n/a,no portfolio within 2km,,,
ChIJUe1s5MbnzTERRkSAYxPftBU,ChIJUe1s5MbnzTERRkSAYxPftBU,ANTARRA GROUP SDN BHD,"No. 5-G, Jalan Tiara Sendayan Biz 1, Tiara Sendayan",Seremban,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.7008122,101.8185143,0.0,0,0,Active,grocery_or_supermarket,0,0,False,scraped,,Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 10:00 PM | Saturday: 10:00 AM – 10:00 PM | Sunday: 10:00 AM – 10:00 PM,https://www.instagram.com/antara_mart?igsh=MTFzN2htcHR3bmJ5aw==,0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']","No. 5-G, Jalan Tiara Sendayan Biz 1, Tiara Sendayan, Seremban",ChIJUe1s5MbnzTERRkSAYxPftBU,Super/Groceries,,Super - Indie retail,Tier 1,antarra group,NO,n/a,"nearest portfolio 304m, name sim 0.00 — different store",,,
ChIJbVMKwSSVaUkRVBcjSs_4J5w,ChIJbVMKwSSVaUkRVBcjSs_4J5w,RR SUPERMART,"No 4-G, Jalan Tiara Sendayan Biz 1 Pusat Komersial Tiara Sendayan",Seremban,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.701678,101.8181245,0.0,0,0,Active,grocery_or_supermarket,0,0,False,scraped,,Monday: 8:00 – 11:00 AM | Tuesday: 8:00 – 11:00 AM | Wednesday: 8:00 – 11:00 AM | Thursday: 8:00 – 11:00 AM | Friday: 8:00 – 11:00 AM | Saturday: 8:00 – 11:00 AM | Sunday: 8:00 – 11:00 AM,,0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']","No 4-G, Jalan Tiara Sendayan Biz 1 Pusat Komersial Tiara Sendayan, Seremban",ChIJbVMKwSSVaUkRVBcjSs_4J5w,Super/Groceries,,Super - Independent local,Tier 1,rr supermart,NO,n/a,"nearest portfolio 335m, name sim 0.00 — different store",,,
ChIJmcp0LkjpzTERASwXoHKtQqQ,ChIJmcp0LkjpzTERASwXoHKtQqQ,Pasar Mini Barakath Al Fatimah,"Nusari Biz, 1768, Jalan Nusari Bayu 7/2, Bandar Sri Sendayan",Seremban,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.6679587,101.8748625,3.5,59,0,Active,grocery_or_supermarket,0,0,False,scraped,012-292 7867,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,,0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']","Nusari Biz, 1768, Jalan Nusari Bayu 7/2, Bandar Sri Sendayan, Seremban",ChIJmcp0LkjpzTERASwXoHKtQqQ,Super/Groceries,,Super - Independent local,Tier 1,pasar mini barakath al fatimah,NO,n/a,"nearest portfolio 610m, name sim 0.00 — different store",,,
ChIJcy6FJ6jpzTERRPIF629_Bfs,ChIJcy6FJ6jpzTERRPIF629_Bfs,PASAR MINI RAMADAN MAJU,"No.2, Jln Nusari Biz 2, Bandar Sri Sendayan",Sendayan,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.6633036,101.8727399,5.0,6,0,Active,grocery_or_supermarket,0,0,False,scraped,012-292 7867,,,0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']","No.2, Jln Nusari Biz 2, Bandar Sri Sendayan, Sendayan",ChIJcy6FJ6jpzTERRPIF629_Bfs,Super/Groceries,,Super - Independent local,Tier 1,pasar mini ramadan maju,NO,n/a,"nearest portfolio 42m, name sim 0.00 — different store",,,
ChIJS6O_YVjnzTERv-JtxYfwNU8,ChIJS6O_YVjnzTERv-JtxYfwNU8,Econsave Forest Height (Hypermarket Wholesale),"Lot PT 20987 & 20988, Seremban Forest Height",Seremban,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.698414,101.9709854,3.9,1312,0,Active,grocery_or_supermarket,0,0,False,scraped,06-761 1124,Monday: 8:00 AM – 10:00 PM | Tuesday: 8:00 AM – 10:00 PM | Wednesday: 8:00 AM – 10:00 PM | Thursday: 8:00 AM – 10:00 PM | Friday: 8:00 AM – 10:00 PM | Saturday: 8:00 AM – 10:00 PM | Sunday: 8:00 AM – 10:00 PM,http://www.econsave.com.my/,0,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']","Lot PT 20987 & 20988, Seremban Forest Height, Seremban",ChIJS6O_YVjnzTERv-JtxYfwNU8,Super/Groceries,,Super - Econsave,Tier 2,econsave forest height hypermarket wholesale,NO,n/a,"nearest portfolio 414m, name sim 0.00 — different store",,,
ChIJOWbYKm3nzTERKAenl42CC7s,ChIJOWbYKm3nzTERKAenl42CC7s,Kedai Buah-Buahan Piala Dunia / 世界杯生果批发零售商,"Lot 1712, Jalan Tok Ungku, Kampung Tok Ungku",Seremban,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.6984382,101.9488501,4.2,13,0,Active,grocery_or_supermarket,0,0,False,scraped,017-795 1138,Monday: 8:00 AM – 9:30 PM | Tuesday: 8:00 AM – 9:30 PM | Wednesday: 8:00 AM – 9:30 PM | Thursday: 8:00 AM – 9:30 PM | Friday: 8:00 AM – 9:30 PM | Saturday: 8:00 AM – 9:30 PM | Sunday: 8:00 AM – 9:30 PM,https://m.facebook.com/%E4%B8%96%E7%95%8C%E6%9D%AF%E7%94%9F%E6%9E%9C%E6%89%B9%E5%8F%91%E9%9B%B6%E5%94%AE%E5%95%86-Kedai-Buah-Buahan-Piala-Dunia-246661825463452/,0,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']","Lot 1712, Jalan Tok Ungku, Kampung Tok Ungku, Seremban",ChIJOWbYKm3nzTERKAenl42CC7s,Super/Groceries,,Super - Generic kedai,Tier 1,kedai buah buahan piala dunia,NO,n/a,"nearest portfolio 767m, name sim 0.12 — different store",,,
ChIJtVl9RNXnzTERxUaTABSdX9I,ChIJtVl9RNXnzTERxUaTABSdX9I,Pasar Mini Ban Cheong 万昌贸易药行酒庄迷你市场,"3834, Jalan SJ 8/3, Taman Seremban Jaya",Seremban,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.6748036,101.9774761,4.3,4,0,Active,grocery_or_supermarket,0,0,False,scraped,014-515 0319,Monday: 8:00 AM – 6:00 PM | Tuesday: 8:00 AM – 6:00 PM | Wednesday: 8:00 AM – 6:00 PM | Thursday: 8:00 AM – 6:00 PM | Friday: 8:00 AM – 6:00 PM | Saturday: 8:00 AM – 6:00 PM | Sunday: 9:00 AM – 12:30 PM,,0,"['supermarket', 'grocery_or_supermarket', 'store', 'health', 'food', 'point_of_interest', 'establishment']","3834, Jalan SJ 8/3, Taman Seremban Jaya, Seremban",ChIJtVl9RNXnzTERxUaTABSdX9I,Super/Groceries,,Super - Independent local,Tier 1,pasar mini ban cheong,NO,n/a,"nearest portfolio 1749m, name sim 0.17 — different store",,,
ChIJR_SacZznzTER1Xg7FB04uHc,ChIJR_SacZznzTER1Xg7FB04uHc,muhibah frozen food seremban jaya,"3989, Jalan SJ 8/5, Taman Seremban Jaya",Seremban,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.6743648,101.9789281,4.1,14,0,Active,grocery_or_supermarket,0,0,False,scraped,012-277 5060,Monday: 8:30 AM – 7:00 PM | Tuesday: 8:30 AM – 8:00 PM | Wednesday: 8:30 AM – 8:00 PM | Thursday: 8:30 AM – 8:00 PM | Friday: 8:30 AM – 8:00 PM | Saturday: 8:30 AM – 8:00 PM | Sunday: 8:30 AM – 8:00 PM,,0,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']","3989, Jalan SJ 8/5, Taman Seremban Jaya, Seremban",ChIJR_SacZznzTER1Xg7FB04uHc,Super/Groceries,,Super - Frozen specialist,Tier 2,muhibah frozen food seremban jaya,NO,n/a,"nearest portfolio 184m, name sim 0.00 — different store",,,
ChIJr-rEsavnzTERYoJAIrMJ1rc,ChIJr-rEsavnzTERYoJAIrMJ1rc,Devibala Cash & Carry Sdn Bhd,"59, Jalan PKBB 4",Seremban,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.6996157,101.9526613,4.5,174,0,Active,grocery_or_supermarket,0,0,False,scraped,010-385 5509,Monday: 9:00 AM – 8:45 PM | Tuesday: 9:00 AM – 8:45 PM | Wednesday: 9:00 AM – 8:45 PM | Thursday: 9:00 AM – 8:45 PM | Friday: 9:00 AM – 8:45 PM | Saturday: 9:00 AM – 8:45 PM | Sunday: 9:00 AM – 8:45 PM,,0,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']","59, Jalan PKBB 4, Seremban",ChIJr-rEsavnzTERYoJAIrMJ1rc,Super/Groceries,,Super - Indie retail,Tier 1,devibala cash carry,NO,n/a,"nearest portfolio 167m, name sim 0.00 — different store",,,
