store_id,store_name,address,postal_code,city,account,district,region,lat,lng,category,annual_sales_usd,lines_per_store,fsm,sr,rating,review_count,price_level,place_id,phone,opening_hours,website,enrichment_attempted
700_A007,AMSATH STORE,"NO. 81  TAMAN BUNGA SEJATI, JALAN KUALA SAWAH",-,71200 RANTAU  NSDK.,Others,CENTRAL,CENTRAL,2.645616055,101.9477768,SPV,770.56,9.4,33060,COMRB13,,,,,,,,
700_A013,ANANTHA STORE,"NO. 173  PALONG 1, 73440 GEMAS  NSDK.",73440,,Others,CENTRAL,CENTRAL,2.690206766,102.5698929,SPV,871.26,6.6,33060,COMRB12,,,,,,,,
700_A015,AMPANGAN FAMILY STORE SDN BHD,"NO. 115-116-117, LORONG CENGAL UTAMA",70400,1/1 TAMAN CENGAL UTAMA,FS,CENTRAL,CENTRAL,2.725957394,101.9931488,LPV,31649.08,27.2,33060,COMRB16,,,,,,,,
700_A016,ARABIAH MINI MARKET (CAWANGAN),"NO. 33 JALAN BUNGA RAYA 25, TAMAN TASIK JAYA",70400,,Others,CENTRAL,CENTRAL,2.714928,101.994034,SPV,502.49,6.8,33060,COMRB16,,,,,,,,
700_A020,PASAR MINI AR SENAWANG INDAH,"NO.72 JALAN ORKID2, TAMAN SENAWANG INDAH 2",-,70400 SENAWANG . NSDK,Others,CENTRAL,CENTRAL,2.694987297,101.9992142,SPV,1466.58,10.2,33060,COMRB16,,,,,,,,
700_A023,ARMAN BIN AB. RAHIM,"KEDAI NO. 14(F)   JELAI KOMPLEK, 73480 GEMAS  NSDK.",73480,,Others,CENTRAL,CENTRAL,2.647451639,102.4862289,SPV,933.49,7.4,33060,COMRB12,,,,,,,,
700_A027,ABDUL ARIS HASSAN GARISAN LINTANG ENT.,"NO. 1  SIMPANG TIGA, GEDONG LALANG 162",-,AMPANGAN  SEREMBAN  NSDK.,Others,CENTRAL,CENTRAL,2.7225945,101.9719849,SPV,922.22,3,33060,COMRB16,,,,,,,,
700_A045,ANTHONY MINI MARKETPD,"PT 1100 176  JLN DS 1/12, BANDAR DATARAN SEGAR",71000,71000 PORT DICKSON NSDK.,Others,CENTRAL,CENTRAL,2.560572386,101.8140793,SPV,275.89,8,33060,COMRB13,,,,,,,,
700_A046,AZLIE BIN OMAR K/R RUMAH RAKYAT,"NO 1 GERAI MDPD RUMAH RAKYAT, TELOK PELANDUK PASIR PANJANG",-,71250 PASIR PANJANG NSDK,Others,CENTRAL,CENTRAL,2.420506,101.88575,SPV,333.72,8.2,33060,COMRB13,,,,,,,,
700_A057,MD AGRICULTURAL ENTERPRISE (700-M224),"NO 12,TAPAK GERAI FELDA LUI TIMUR,, 72120 BANDAR SERI JEMPOL,NSDK",72120,,Others,CENTRAL,CENTRAL,3.065259,102.407943,SPV,1624,12.6,33060,COMRB12,,,,,,,,
700_A068,AKUDIA ENTERPRISEPETRONAS,"LOT 1682 JALAN SENAWANG PAROI, MUKIM AMPANGAN",70400,70400 SEREMBAN NEGERI SEMBILAN.,Others,CENTRAL,CENTRAL,2.709632158,101.9790649,PMS,-416.93,3.4,33060,COMRB16,,,,,,,,
700_A070,AVILLION HOTEL PORT DICKSON,BATU 3  JALAN PANTAI,71000,,Others,CENTRAL,CENTRAL,2.506170034,101.8327408,OTH,0,0,33060,COMRB13,,,,,,,,
700_A079,AIVINN ENTERPRISE,"NO.3 JALAN PS 1/5, TAMAN PINGGIRAN SENAWANG",71450,71450 SG. GADUT  SEREMBAN.,Others,CENTRAL,CENTRAL,2.65339756,101.9947128,SPV,188.53,5.2,33060,COMRB16,,,,,,,,
700_A097,A.LETCHU ENTERPISE,"NO.31G  JLN COCO DRIVE 2, TAMAN BANDAR SENAWANG",70450,,Others,CENTRAL,CENTRAL,2.693253279,102.0004578,SPV,1073.82,8.2,33060,COMRB16,,,,,,,,
700_B002,BP CURRY HOUSE MISIRIYA S/B,"NO. 5&6  JALAN BESAR LENGGENG, 71750 LENGGENG  NSDK.",71750,,Others,CENTRAL,CENTRAL,2.855175018,101.9420395,SPV,4491.57,18.4,33060,COMRB17,,,,,,,,
700_B003,BALAN M/M,"NO. 75A  JALAN LAMA, 71000 PORT DICKSON  NSDK.",71000,,Others,CENTRAL,CENTRAL,2.525771379,101.7957611,SPV,1549.75,14,33060,COMRB13,,,,,,,,
700_B007,BISMILLAH STORE JLN BUNGA RAYA,"NO. 280  BLOCK C, JALAN BUNGA RAYA",70400,70400 SEREMBAN  NSDK.,Others,CENTRAL,CENTRAL,2.720135689,101.9586563,SPV,3536.35,8.6,33060,COMRB16,,,,,,,,
700_B009,BAHAU PHARMACY SDN. BHD. CAW K.KLAWANG,"NO. 10 JALAN DATO ABDULLAH, 71600 KUALA KLAWANG NSDK.",71600,,Others,CENTRAL,CENTRAL,2.939145565,102.0701904,OTH,1316.81,8.8,33060,COMRB17,,,,,,,,
700_B010,BAN SING SUNDRY GOODS &HARDWARE,"132  JALAN DATO MOYANG SALLEH, 71600 KUALA KLAWANG  JELEBU",71600,NEGERI SEMBILAN DARUL KHUSUS.,Others,CENTRAL,CENTRAL,2.941158056,102.0707703,SPV,2313.97,8.4,33060,COMRB17,,,,,,,,
700_B019,KEDAI RUNCIT NUURASYRAF (700-K042),"NO. 710  TAMAN BUKIT MUTIARA, 20/1 TEMIANG",-,70200 SEREMBAN  NSDK.,Others,CENTRAL,CENTRAL,2.76544,101.928043,SPV,0,0,33060,COMRB17,,,,,,,,
700_B022,BAN Y MINI MARKET,"NO. 5  TAMAN PATIN INDAH, MAMBAU  70300 SEREMBAN  NSDK.",-,,Others,CENTRAL,CENTRAL,2.670722723,101.9208298,SPV,1437.18,7.8,33060,COMRB13,,,,,,,,
700_B023,SYARIKAT PERNAIGAAN BAN CHEONG,"NO. 93  MAIN ROAD, SUNGAI PELEK  SELANGOR.",70000,,Others,CENTRAL,CENTRAL,2.642985106,101.7171555,CMH,254.97,6.2,33060,COMRB10,,,,,,,,
700_B040,B FAMILY MART S/B(ZEMART),"NO.159-168LORONG DALAM 6, TMN DATO LELA MAHARAJA",71300,PEKAN CHEMBONG,ZEMART,CENTRAL,CENTRAL,2.597952604,102.0728989,SMT,106374.97,44.8,33060,COMRB16,,,,,,,,
700_B096,1 BABA STORE SDN BHD (MAIN),"B-G-2 TO 15  BLOCK B JALAN 6/2, TAMAN CEMPAKAPURI 4",71800,,Others,CENTRAL,CENTRAL,2.7991364,101.7693405,SPV,179.85,3.2,33060,COMRB10,,,,,,,,
700_C003,CHEOON PAK TRADING,"NO. 312  TAMAN SURIA, JALAN TUN DR ISMAIL",70200,70200 SEREMBAN  NSDK.,Others,CENTRAL,CENTRAL,2.739279032,101.9260178,CMH,619.74,3.8,33060,COMRB17,,,,,,,,
700_C004,CHONG TRADING CO,"NO. 19/5 TAMAN DESA TEMIANG, 70200 SEREMBAN NSDK.",70200,,Others,CENTRAL,CENTRAL,,,WHS,-1714.31,5.4,33060,COMRB07,,,,,,,,
700_C005,CHEOON LIN SDN. BHD.,"NO. 35  JALAN DR.KRISHNAN, 70000 SEREMBAN  NSDK.",70000,,Others,CENTRAL,CENTRAL,2.727594,101.937496,CMH,265.27,4.2,33060,COMRB16,,,,,,,,
700_C006,YAN TUCK SDN BHD-Y068,"9  JALAN DATO ABDUL RAHMAN, 70100 SEREMBAN  NSDK.",70100,,Others,CENTRAL,CENTRAL,2.726543903,101.9374008,CMH,1326.29,4.4,33060,COMRB16,,,,,,,,
