store_id,store_name,address,postal_code,city,account,district,region,lat,lng,category,annual_sales_usd,lines_per_store,fsm,sr,rating,review_count,price_level,place_id,phone,opening_hours,website,enrichment_attempted
700_A131,ASHIQ IMAN ENTERPRISE,"25  JALAN CAMAR 4/2, SEKSYEN 4  KOTA D'SARA, KOTA DAMANSARA",47810,47810 PETALING JAYA,Others,CENTRAL,CENTRAL,3.153226,101.579096,spv,554.97,13.8,33059,TSTM011,3.6,9,0,,03-6143 3747,Monday: 7:00?AM?–?9:30?PM | Tuesday: 7:00?AM?–?9:30?PM | Wednesday: 7:00?AM?–?9:30?PM | Thursday: 7:00?AM?–?9:30?PM | Friday: 7:00?AM?–?9:30?PM | Saturday: 7:00?AM?–?9:30?PM | Sunday: 7:00?AM?–?9:30?PM,,
700_A225,AL RABBANI ENTERPRISE,"NO 27 JALAN UP 1/1, UKAY PERDANA, AMPANG",68000,AMPANG,Others,CENTRAL,CENTRAL,3.2037695,101.7771743,spv,1086,9.8,33059,TSTK001,0,0,0,,,,,TRUE
700_A296,AS BISMI MINI MART,"NO 11  JALAN SENTUL MURNI, SENTUL PASAR, SENTUL",51000,51000 KUALA LUMPUR,Others,CENTRAL,CENTRAL,3.1953283,101.6917483,spv,395.6,7,33059,TSTK001,3.9,896,0,,03-4045 6993,Monday: 8:30?AM?–?10:00?PM | Tuesday: 8:30?AM?–?10:00?PM | Wednesday: 8:30?AM?–?10:00?PM | Thursday: 8:30?AM?–?10:00?PM | Friday: 8:30?AM?–?10:00?PM | Saturday: 8:30?AM?–?10:00?PM | Sunday: 8:30?AM?–?10:00?PM,https://m.facebook.com/PasarayaOTK/,
700_A408,ALIZA MINI MART,"B-01-07, 162 RESIDENCY,, JALAN IPOH KM12,",68100,BATU CAVES,Others,CENTRAL,CENTRAL,3.2480767,101.6503067,spv,277.33,6.4,33059,TSTK001,4.1,3441,0,,07-283 0123,Monday: 9:30?AM?–?10:30?PM | Tuesday: 9:30?AM?–?10:30?PM | Wednesday: 9:30?AM?–?10:30?PM | Thursday: 9:30?AM?–?10:30?PM | Friday: 9:30?AM?–?10:30?PM | Saturday: 9:30?AM?–?10:30?PM | Sunday: 9:30?AM?–?10:30?PM,http://www.eco-shop.com.my/,
700_B296,BAKHACHE FOOD SDN BHD,"N3 31-1 HIGHWAY CENTRE, JALAN  51/205 46050, PETALING JAYA ",46050,PETALING JAYA ,Others,CENTRAL,CENTRAL,3.0927917,101.6338045,spv,0,0,33059,TSTA001,3.9,17,0,ChIJ7_y5Tq9JzDER8WkwxyfCG_M,,,,TRUE
700_F160,FANTASY JUNGLE FOOD SDN BHD,"LOT 37627  JALAN 2/37A, POTENTIAL INDUSTRIAL ESTATE, KEPONG",52100,TAMAN BUKIT MALURI  OFF JALAN KEPONG,Others,CENTRAL,CENTRAL,3.1997738,101.6392094,whs,-5.92,0,33059,TSTRB6,0,0,0,,,,,
700_G114,PASAR MINI AZF,"NO 12  BLOCK D  DIAMOND SQUARE, JALAN 4/50  OFF JALAN GOMBAK, GOMBAK",53000,GOMBAK,Others,CENTRAL,CENTRAL,3.1956176,101.7058072,spv,1157.12,9.6,33059,TSTK001,0,0,0,,,,,TRUE
700_G116,GREENTAIL MARKETING 700-G116,"11-1  JALAN INDAH 1, TAMAN DAGANG PERMAI, AMPANG",68000,AMPANG,Others,CENTRAL,CENTRAL,3.1369933,101.78087,whs,0,0,33059,TSTRB3,0,0,0,,,,,TRUE
700_K043,KANA JAYA ENTERPRISE(1),"LOT 4713E, TAMAN KOPERASI POLIS FASA 2, GOMBAK",68100,GOMBAK,Others,CENTRAL,CENTRAL,3.2193872,101.689508,spv,1868.88,8.6,33059,TSTK001,0,0,0,ChIJ3_Ok8olHzDER-mvFgYW7uJ0,,,,TRUE
700_L253,LUCKY SNACK TRADING SDN BHD,"NO. 17  JALAN PAHLAWAN, 5/3 SEKSYEN 3  BANDAR MAHKOTA CHERAS",43200,43200 CHERAS  SELANGOR.,Others,CENTRAL,CENTRAL,3.0634417,101.7882883,whs,2662.56,1.4,33059,TSTRB3,0,0,0,,,,,TRUE
700_M599,MY DAILY ENTERPRISE -PJ,"NO.147  JALAN SS2/6, TAMAN BAHAGIA, PETALING JAYA",47300,PETALING JAYA,Others,CENTRAL,CENTRAL,3.1166872,101.6169359,spv,740.52,2,33059,TSTRB5,3.5,48,0,,03-3362 6863,Monday: 10:00?AM?–?10:00?PM | Tuesday: 10:00?AM?–?10:00?PM | Wednesday: 10:00?AM?–?10:00?PM | Thursday: 10:00?AM?–?10:00?PM | Friday: 10:00?AM?–?10:00?PM | Saturday: 10:00?AM?–?10:00?PM | Sunday: 10:00?AM?–?10:00?PM,http://www.99speedmart.com.my/,
700_S1239,SAN MAN YEE TRADING,"1, RANCANGAN RUMAH MURAH, RAWANG",44300,BATANG KALI,Others,CENTRAL,CENTRAL,3.4641733,101.65089,spv,857.43,23.6,33059,TSTRB3,0,0,0,ChIJ6VgqF31tzDER4HrubzC4MwI,,,,TRUE
700_S1263,SUPER SEVEN CASH & CARRY S/B (SUBANG 2),"NO 1 JALAN EURO 1, OFF BATU TIGA, SUNGAI BULOH",40150,SUNGAI BULOH SEKSYEN 3,NSK,CENTRAL,CENTRAL,3.1527335,101.5485771,whs,47631.79,17.2,33059,TSTL003,3.8,1202,0,,03-7859 0861,Monday: 8:00?AM?–?9:40?PM | Tuesday: 8:00?AM?–?9:40?PM | Wednesday: 8:00?AM?–?9:40?PM | Thursday: 8:00?AM?–?9:40?PM | Friday: 8:00?AM?–?9:40?PM | Saturday: 8:00?AM?–?9:40?PM | Sunday: 8:00?AM?–?9:40?PM,http://www.super7.com.my/,
700_W199,HYAR NISHA MINI MARKET,"NO.16, JALAN 7/18B,, TAMAN BATU PERMAI,, JALAN IPOH",51200,"BATU 5, JALAN IPOH,",Others,CENTRAL,CENTRAL,3.2070506,101.6770532,spv,842.91,4,33059,TSTK001,4.1,25,0,ChIJnYsEwMZHzDER828xSLmqQkk,,,,TRUE
700_Y172,SYARIKAT PERNIAGAAN SHIN HING,"NO. 6, JALAN AIR TENANG, SETAPAK",53200,AIR PANAS BARU  SETAPAK,Others,CENTRAL,CENTRAL,3.189533,101.718521,cmh,1288.2,3.2,33059,TSTK001,5,6,0,ChIJIytfJ-U3zDERctndr4ihSLE,,,,TRUE
A609,ANDA MINI MARKET,"3  JALAN G.P. UTAMA, TAMAN GARING PERMAI, RAWANG",48000,RAWANG,Others,CENTRAL,CENTRAL,3.3268133,101.5611267,spv,953.71,11.8,33059,TSTRB3,5,1,0,ChIJJWyCTwRDzDERdoNhses23sE,,,,TRUE
A624,DYNAMIC FRONTIER RESOURCES,"NO 7,GROUND FLOOR, JALAN SARIKEL, JALAN PAHANG",53000,OFF JALAN PAHANG,Others,CENTRAL,CENTRAL,3.176876,101.699314,spv,411.11,10.4,33059,TSTRB3,5,1,0,,03-4024 4100,Monday: 9:00?AM?–?8:00?PM | Tuesday: 9:00?AM?–?8:00?PM | Wednesday: 9:00?AM?–?8:00?PM | Thursday: 9:00?AM?–?8:00?PM | Friday: 9:00?AM?–?8:00?PM | Saturday: 9:00?AM?–?8:00?PM | Sunday: 9:00?AM?–?8:00?PM,,
AB04,KEDAI BAN SAN,"77 KAMPONG SG TERENTANG, RAWANG, RAWANG",-,,Others,CENTRAL,CENTRAL,3.3078829,101.5887264,spv,715.06,11.8,33059,TSTRB3,0,0,0,ChIJbbb9-OZDzDERfepPDzZfaMM,,Monday: 9:00?AM?–?8:00?PM | Tuesday: 9:00?AM?–?8:00?PM | Wednesday: 9:00?AM?–?8:00?PM | Thursday: 9:00?AM?–?8:00?PM | Friday: 9:00?AM?–?8:00?PM | Saturday: 9:00?AM?–?8:00?PM | Sunday: 9:00?AM?–?8:00?PM,,TRUE
AB12,BANEE SDN BHD,"5  JLN APOLLO US/194, BDR PINGGIRAN SUBANG SEK 1, KG. SUBANG",40150,40150 SHAH ALAM,Others,CENTRAL,CENTRAL,3.1579983,101.5493183,whs,210218.64,6.6,33059,TSTL002,4.9,98,0,,014-396 3068,Monday: 10:00?AM?–?6:00?PM | Tuesday: 10:00?AM?–?6:00?PM | Wednesday: 10:00?AM?–?6:00?PM | Thursday: 10:00?AM?–?6:00?PM | Friday: 10:00?AM?–?6:00?PM | Saturday: 10:00?AM?–?6:00?PM | Sunday: 10:00?AM?–?3:00?PM,https://instagram.com/alessaminimart?igshid=72s4rz2sp8vb,
AH01,HIAP LEONG MARKETING S/B,"NO.1A LOT 4887 JLN IPOH, 7 3/4 MILES SELAYANG, BATU CAVES",68100,BATU CAVES,Others,CENTRAL,CENTRAL,3.2462967,101.6611417,whs,1246.4,0.8,33059,TSTL002,0,0,0,,,,,TRUE
AH04,HENG KEE MARKETING SDN BHD,"NO 27  29 GRD FLR, JALAN DEWAN SULTAN SULAIMAN 1, KUALA LUMPUR",50300,KUALA LUMPUR,Others,CENTRAL,CENTRAL,3.1613266,101.6985335,whs,0,0,33059,TSTRB5,4.1,1027,0,,03-2691 5786,Monday: 9:30?AM?–?7:00?PM | Tuesday: 9:30?AM?–?7:00?PM | Wednesday: 9:30?AM?–?7:00?PM | Thursday: 9:30?AM?–?7:00?PM | Friday: 9:30?AM?–?7:00?PM | Saturday: 9:30?AM?–?7:00?PM | Sunday: 9:30?AM?–?7:00?PM,,
AH10,HGH CONVENTION CENTRE,"LEMBAGA PENGURUS SJK (C) SENTUL, LOT 475  JALAN SENTUL, SENTUL",51000,KUALA LUMPUR.,Others,CENTRAL,CENTRAL,3.179035,101.6928221,oth,0,0,33059,TSTA001,4.4,1934,0,ChIJO4tOORBIzDERE8LgSc7dNso,,,,TRUE
AM07,M.F.LAI ENTERPRISE,"91 JALAN WAWASAN 2/2, PUSAT BANDAR PUCHONG, PETALING JAYA",47100,PUCHONG,Others,CENTRAL,CENTRAL,3.032385,101.6223,whs,-3849.59,0,33059,TSTL002,0,0,0,,,,,
AM08,MEDISHIELD FIRST AID SUPPLIES SDN BHD,"7 & 9 JALAN INDUSTRIES, MAS 3 TAMAN MAS, PETALING JAYA",47100,PUCHONG,Others,CENTRAL,CENTRAL,2.97424,101.5828333,oth,2940.48,0.2,33059,TSTL002,4.4,5,0,,018-375 0635,Monday: 7:00?AM?–?9:30?PM | Tuesday: 7:00?AM?–?9:30?PM | Wednesday: 7:00?AM?–?9:30?PM | Thursday: 7:00?AM?–?9:30?PM | Friday: 7:00?AM?–?9:30?PM | Saturday: 7:00?AM?–?9:30?PM | Sunday: 9:00?AM?–?9:30?PM,,
AM11,PASAR MINI AN NISA,"NO.C-1  JLN 3/27A, SEKSYEN 1  BDR BARU, WANGSA MAJU",53300,WANGSA MAJU,Others,CENTRAL,CENTRAL,3.20541,101.729915,spv,1083.59,9,33059,TSTK001,5,1,0,,03-4149 7389,Monday: 10:00?AM?–?8:00?PM | Tuesday: 10:00?AM?–?8:00?PM | Wednesday: 10:00?AM?–?8:00?PM | Thursday: 10:00?AM?–?8:00?PM | Friday: 10:00?AM?–?8:00?PM | Saturday: 10:00?AM?–?8:00?PM | Sunday: 10:00?AM?–?8:00?PM,,
AO01,PASARAYA OKAY SDN BHD,"NO. 1A  LOT 4887  BATU 7 3/4, JALAN IPOH  SELAYANG, BATU CAVES",68100,BATU CAVES,Others,CENTRAL,CENTRAL,3.244385,101.6639183,spv,2575.92,4.2,33059,TSTL002,3.9,144,0,ChIJlT78yB1HzDERtYtzf7bBjAg,,,,TRUE
AP08,PROMED MARKETING S/B,"NO:1 (1ST & 2ND FLOOR), JALAN BPU 7, PETALING JAYA",47100,BANDAR PUCHONG UTAMA,Others,CENTRAL,CENTRAL,2.98978,101.61864,oth,11637.43,3.2,33059,TSTL002,4.1,15,0,,012-709 6388,Monday: Closed | Tuesday: 7:00?AM?–?3:30?PM | Wednesday: 7:00?AM?–?3:30?PM | Thursday: 7:00?AM?–?3:30?PM | Friday: 7:00?AM?–?3:30?PM | Saturday: 7:00?AM?–?3:30?PM | Sunday: 7:00?AM?–?3:30?PM,https://m.me/ddfreshmeat?ref=w13673615,
AT19,PASARAYA TS MEGA (CHERAS) SDN BHD,"4 6 8 10 JALAN5/80A, OFF JALAN SEKILAU 3 1/2 MILES CHERAS, CHERAS",56000,CHERAS,Others,CENTRAL,CENTRAL,3.1144531,101.7226955,lpv,317627.71,67,33059,TSTL002,3.9,55,0,,03-9172 6199,Monday: 10:00?AM?–?9:30?PM | Tuesday: 10:00?AM?–?9:30?PM | Wednesday: 10:00?AM?–?9:30?PM | Thursday: 10:00?AM?–?9:30?PM | Friday: 10:00?AM?–?9:30?PM | Saturday: 10:00?AM?–?9:30?PM | Sunday: 10:00?AM?–?9:30?PM,,
AW09,WH SMITH MALAYSIA SDN BHD -RAWANG,"LOT 142 (PECAHAN LOT 1289), JALAN INDUSTRI 2/4, RAWANG",48000,RAWANG INTEGRATED INDUSTRI PARK,Others,CENTRAL,CENTRAL,3.161915,101.572605,con,83100.03,32.4,33059,TSTL002,3.8,136,0,,03-6144 5243,Monday: 9:00?AM?–?8:00?PM | Tuesday: 9:00?AM?–?8:00?PM | Wednesday: 9:00?AM?–?8:00?PM | Thursday: 9:00?AM?–?8:00?PM | Friday: 9:00?AM?–?8:00?PM | Saturday: 9:00?AM?–?8:00?PM | Sunday: 9:00?AM?–?8:00?PM,,
B095,BARONA MAJU,"LOT 8434 JALAN NAKHODA KIRI, KAMPUNG NAKHODA, BATU CAVES",68100,BATU CAVES,Others,CENTRAL,CENTRAL,3.25068,101.6762033,spv,961.78,8.8,33059,TSTK001,1,1,0,ChIJd9-2xuNHzDERjJZngC65iRk,,,,TRUE
B258,PASARAYA JTR JAYA,"PT 38, JALAN PASAR RASA, RAWANG",44200,RASA,Others,CENTRAL,CENTRAL,3.4974967,101.6332433,spv,4860.94,22,33059,TSTRB3,5,2,0,ChIJFaFNuLptzDERQDZcc5KqVUE,011-7226 8665,,,TRUE
BA01,PASAR MINI AMS  -  TMN SRI MURNI,"NO.10  JALAN 1/2D, TAMAN SRI MURNI, BATU CAVES",68100,BATU CAVES,Others,CENTRAL,CENTRAL,3.2354252,101.6613328,spv,8713.5,28.8,33059,TSTL003,4,68,0,,03-6138 9786,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://m.facebook.com/pages/Pasar-Mini-AMS/2219288284827178,
BB03,BARKAH MINI MARKET,"NO.25 KM 24, JALAN GOMBAK, GOMBAK",53100,GOMBAK,Others,CENTRAL,CENTRAL,3.2073487,101.7025479,spv,0,0,33059,TSTL002,5,6,0,,017-578 6004,Monday: 6:00?AM?–?12:00?AM | Tuesday: 6:00?AM?–?12:00?AM | Wednesday: 6:00?AM?–?12:00?AM | Thursday: 6:00?AM?–?12:00?AM | Friday: 6:00?AM?–?12:00?AM | Saturday: 6:00?AM?–?12:00?AM | Sunday: 6:00?AM?–?12:00?AM,,
BG04,G.U.S (BUKIT BERUNTUNG) S/B,"NO.1 JALAN KAMUNTING 1, SEKSYEN BB6, RAWANG",48300,BANDAR BUKIT BERUNTUNG,Others,CENTRAL,CENTRAL,3.412025,101.5581017,smt,62999.49,43.4,33059,TSTRB3,0,0,0,,,,,TRUE
BI04,IDAMAN MG TRADING,"NO 15  SERI SELERA  PS, SG.PUSU, GOMBAK",53000,GOMBAK,Others,CENTRAL,CENTRAL,3.2493383,101.7290483,spv,0,0,33059,TSTL002,0,0,0,,,,,TRUE
BK12,KIM LEONG SHOP,"NO 31  JALAN 2A/6, TAMAN SETAPAK INDAH, SETAPAK",53100,KULALA LUMPUR,Others,CENTRAL,CENTRAL,3.2103006,101.7193286,spv,1195.96,11,33059,TSTL003,4.9,146,0,ChIJ8YktTW04zDER6Elzy7pTImM,,Monday: 11:00?AM?–?9:30?PM | Tuesday: 11:00?AM?–?9:30?PM | Wednesday: 11:00?AM?–?9:30?PM | Thursday: 11:00?AM?–?9:30?PM | Friday: 11:00?AM?–?9:30?PM | Saturday: 11:00?AM?–?9:30?PM | Sunday: 11:00?AM?–?3:00?PM,,
BK13,FBY ONE ENTERPRISE -2,"LOT 3095  BT 9, JALAN GOMBAK UTARA, GOMBAK",53000,GOMBAK,Others,CENTRAL,CENTRAL,3.2569883,101.7259267,spv,0,0,33059,TSTL002,0,0,0,,,,,TRUE
BL02,KEDAI RUNCIT ROZITA SDN BHD,"LOT 1432-A BATU 8, GOMBAK, GOMBAK",53000,SELANGOR,Others,CENTRAL,CENTRAL,3.243825,101.7196267,spv,0,0,33059,TSTL002,0,0,0,,,,,TRUE
BS01,PASAR MINI SAMY SELVI,"NO:10  JALAN PINGGIRAN 2/2, PINGGIRAN BATU CAVES, BATU CAVES",68100,BATU CAVES,Others,CENTRAL,CENTRAL,3.2548533,101.6939283,spv,360.55,6.6,33059,TSTK001,2.7,17,0,,,Monday: 9:00?AM?–?8:00?PM | Tuesday: 9:00?AM?–?8:00?PM | Wednesday: 9:00?AM?–?8:00?PM | Thursday: 9:00?AM?–?8:00?PM | Friday: 9:00?AM?–?8:00?PM | Saturday: 9:00?AM?–?8:00?PM | Sunday: 9:00?AM?–?8:00?PM,,
BS03,SHUANG - LIM CASH & CARRY SDN BHD,"LOT 2079-1, TAMAN DANAU KOTA, GOMBAK",53300,OFF JALAN GENTING KELANG,Others,CENTRAL,CENTRAL,3.2015327,101.7187586,whs,13797.47,9.6,33059,TSTL003,4.1,2078,0,,1-300-80-2366,Monday: 9:00?AM?–?10:00?PM | Tuesday: 9:00?AM?–?10:00?PM | Wednesday: 9:00?AM?–?10:00?PM | Thursday: 9:00?AM?–?10:00?PM | Friday: 9:00?AM?–?10:00?PM | Saturday: 9:00?AM?–?10:00?PM | Sunday: 8:00?AM?–?10:00?PM,http://www.aeonbig.com.my/,
BS21,CHOP SWEE HUAT JOO KEE,"14 JLN PEJABAT POS, SG BESI, SG BESI",57000,KUALA LUMPUR,Others,CENTRAL,CENTRAL,3.0636117,101.7095983,spv,0,0,33059,TSTL002,4.7,3,0,ChIJOTYGJH01zDERK9-9mcfdwxE,016-493 8654,Monday: 6:00?AM?–?10:00?PM | Tuesday: 6:00?AM?–?10:00?PM | Wednesday: 6:00?AM?–?10:00?PM | Thursday: 6:00?AM?–?10:00?PM | Friday: 6:00?AM?–?10:00?PM | Saturday: 6:00?AM?–?10:00?PM | Sunday: 6:00?AM?–?10:00?PM,,TRUE
BS30,CASH RB10,-,-,,Others,CENTRAL,CENTRAL,3.2199967,101.6187517,cash,-5406.69,0.2,33059,TSTL002,0,0,0,,,,,
BT03,PASAR MINI TAJ MAJU  (NO 14-B JLN 13),"NO. 14-B  JALAN 13, SELAYANG BARU, BATU CAVES",68100,BATU CAVES,Others,CENTRAL,CENTRAL,3.2486833,101.6724523,spv,819.3,6.4,33059,TSTK001,2.1,7,0,ChIJ0eNI9iNHzDERDCFs5S-NWGY,,,,TRUE
