store_id,store_name,address,city,lat,lng,rating,review_count,phone,user_category,reckitt_type,reckitt_tier,reckitt_score
ChIJM0mvfYQ3zDERDYaEOTfEME0,ST Rosyam Mart - Setiawangsa,"Lot 3 - 13 Ground Floor, Dewan Sri Iskandar, Jalan Setiawangsa 8, Taman Setiawangsa",Kuala Lumpur,3.1790639,101.7415817,4.3,5310,03-4256 2288,Super/Groceries,Super - Indie retail,Tier 1,36.88
ChIJaZpw_87IzTERvyv939zr1Vw,Pasaraya CS Bangi Avenue,"No. 1, Persiaran Bangi Avenue, Taman Bangi Avenue",Kajang,2.9031522,101.7897876,4.1,4735,03-8687 5003,Hyper,Hyper - Other regional chain,Tier 1,34.7
ChIJdTIif3SzzTERtF1nYZ70WOk,OTK Supermarket Puchong Prima,"C-01, Pasaraya, 01, Jalan Prima 5/1, Taman Puchong Prima",Puchong,3.0001089,101.5960351,4.0,2460,03-8062 6188,Super/Groceries,Super - Independent local,Tier 1,31.23
ChIJgR5cZRk1zDERkhNomqzWDHo,Checkers Hypermarket Sdn Bhd (Cheras Utama),"LOT PT 38285, JALAN CU 12, Taman Cheras Utama",Cheras,3.0518944,101.7469057,4.2,1440,03-9107 5151,Super/Groceries,Super - Indie retail,Tier 1,30.55
ChIJrb2mi3Q4zDEROkyZElXZhEA,Supermarkets OTK Medan Idaman Gombak,"42-50, Jalan Jernai 3, Medan Idaman Business Centre",Kuala Lumpur,3.2126423,101.7112377,3.9,2481,03-4024 8290,Super/Groceries,Super - Independent local,Tier 1,30.49
ChIJNX6bwytPzDERhW3BPpZxChU,Ben Independent Grocer IPC,"IPC Shopping Centre, Lot LG 1.19 & 1.20, 2, Jalan PJU 7/2, Mutiara Damansara",Petaling Jaya,3.1562925,101.611095,4.2,1383,03-7731 3230,Super/Groceries,Super - Sundry/grocer,Tier 1,30.38
ChIJW5EBNMBJzDERCDbVqh-jCF0,Sam's Groceria NU Sentral,"Jalan Sultan Abdul Samad, Brickfields",Kuala Lumpur,3.1330751,101.6870344,4.0,1856,03-2272 2090,Super/Groceries,Super - Sundry/grocer,Tier 1,30.11
ChIJHxYl9WJNzDERd_hqE1pbeoI,Checkers Hypermarket Sdn Bhd (Headquarters),"7, Persiaran Selangor, Seksyen 15",Shah Alam,3.0621433,101.5268708,4.2,1276,03-5511 2255,Super/Groceries,Super - Indie retail,Tier 1,30.04
ChIJCa1aCmC3zTER75a_2pejsTE,Star Grocer Cybersquare - Cyberjaya,"Jalan Teknokrat 6, Cyber 5",Cyberjaya,2.9195963,101.6576294,4.2,1089,,Super/Groceries,Super - Sundry/grocer,Tier 1,29.37
ChIJRQjiNynbzTER-_0ya7xOn8o,Zemart,Mantin,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",2.8311653,101.8963017,4.0,1393,06-758 5380,Super/Groceries,Super - Indie retail,Tier 1,28.96
