Klang Valley area,Total stores,Currently covered,Gap (opportunity),Routed by reps,Reps assigned,Visits/month,Coverage %
1. Kuala Lumpur (DBKL),571,334,237,478,16,997.0,58.5
2. Petaling Jaya (MBPJ),220,133,87,173,8,347.0,60.5
3. Shah Alam (MBSA),334,150,184,261,9,532.0,44.9
4. Subang Jaya (MBSJ),328,171,157,205,7,492.0,52.1
5. Klang (MBDK),397,249,148,344,11,619.0,62.7
6. Ampang Jaya (MPAJ),98,71,27,90,4,153.0,72.4
7. Selayang (MPS),178,118,60,166,7,279.0,66.3
8. Kajang (MPKj),404,151,253,278,11,666.0,37.4
9. Sepang (MPSepang),179,77,102,141,8,265.0,43.0
10. Kuala Langat (MPKL),169,100,69,130,6,259.0,59.2
11. Kuala Selangor (MPKS),244,158,86,209,9,398.0,64.8
12. Hulu Selangor (MPHS),180,98,82,162,8,290.0,54.4
OUTSIDE Klang Valley,292,30,262,220,9,517.0,10.3
Other / unmapped,334,272,62,294,29,485.0,81.4
Unmapped (no city/coord),85,85,0,52,11,131.0,100.0
