Area,Total stores,Currently covered,Gap (opportunity),Routed by reps,Reps assigned,Visits/month,Coverage %
Kuala Lumpur (KL),421,195,226,341,15,772.0,46.3
Klang,257,140,117,223,11,406.0,54.5
Shah Alam,243,75,168,188,9,396.0,30.9
Puchong,166,91,75,102,6,231.0,54.8
Kajang,163,46,117,124,6,278.0,28.2
Petaling Jaya,148,67,81,119,7,247.0,45.3
Seremban,131,0,131,101,2,219.0,0.0
Rawang (Hulu Selangor),117,52,65,103,7,197.0,44.4
Batu Caves,104,52,52,96,3,173.0,50.0
Seri Kembangan,92,40,52,55,4,157.0,43.5
Banting (Kuala Langat),86,35,51,59,5,135.0,40.7
Cheras,81,45,36,57,8,132.0,55.6
Ampang,77,50,27,69,4,125.0,64.9
Sepang,69,13,56,53,5,111.0,18.8
Semenyih,63,15,48,45,3,105.0,23.8
Subang Jaya,55,27,28,42,3,82.0,49.1
Kuala Selangor,39,12,27,27,4,77.0,30.8
Sungai Buloh,38,20,18,33,3,61.0,52.6
Nilai,38,0,38,31,2,65.0,0.0
Cyberjaya,37,21,16,30,1,45.0,56.8
Kapar,35,18,17,31,3,54.0,51.4
Bentong,33,0,33,25,3,66.0,0.0
Putrajaya,25,17,8,19,1,38.0,68.0
Selayang,15,14,1,15,2,21.0,93.3
