portfolio_store_id,portfolio_name,portfolio_city,scraped_store_id,scraped_name,scraped_city,scraped_tier,scraped_type,match_method,distance_m
700_A131,ASHIQ IMAN ENTERPRISE,47810 PETALING JAYA,ChIJOyoMeQBPzDER03E97ge_8us,CF Value Mart (KD4),Petaling Jaya,Tier 1,Conv - Indie mart,coords≤50m,3.3
700_S1263,SUPER SEVEN CASH & CARRY S/B (SUBANG 2),SUNGAI BULOH SEKSYEN 3,ChIJ9f8_tEpOzDERmfBx5m4TJao,Super Seven Supermarket Subang,Shah Alam,Tier 1,Super - Independent local,coords≤50m,22.6
AB04,KEDAI BAN SAN,,ChIJbbb9-OZDzDERfepPDzZfaMM,Kedai Ban San,Rawang,Tier 1,Conv - Generic kedai,place_id,275.7
B258,PASARAYA JTR JAYA,RASA,ChIJFaFNuLptzDERQDZcc5KqVUE,Pasaraya JTR Jaya Mini Market,Rasa,Tier 1,Conv - Mini-mart,place_id,13.5
BA01,PASAR MINI AMS  -  TMN SRI MURNI,BATU CAVES,ChIJBVa2D_5GzDER8Xkt0r1nTiQ,AMS MART,Batu Caves,Tier 1,Super - Indie retail,coords≤50m,20.4
BK12,KIM LEONG SHOP,KULALA LUMPUR,ChIJ8YktTW04zDER6Elzy7pTImM,Kim Leong shop,Kuala Lumpur,Unclear,Super - Other / unclear,place_id,19.9
BS01,PASAR MINI SAMY SELVI,BATU CAVES,ChIJtS2-X0NHzDERWeB-pZiUnfA,PBS Pinggiran Sdn. Bhd.,Batu Caves,Unclear,Super - Other / unclear,coords≤50m,31.5
CT3211005771,TAKZIM MEGAH SDN.BHD,BANDAR SRI DAMASARA (SD1-SD5),ChIJJ1jqsFNFzDERsHdlqwncRqs,CAYEEN enterprise,Kuala Lumpur,Tier 2,Conv - Indie retail,coords≤50m,10.0
CT3211005823,PERNIAGAAN UBAT SOON ONG SDN BHD,"PANDAN PERDANA,",ChIJXazIDwA3zDER9cWWooXrnnE,Pasaraya 9 Grocer Pandan Perdana,Kuala Lumpur,Tier 1,Conv - Sundry/grocer,coords≤50m,15.8
CT3211005880,SYARIKAT PERNIAGAAN POH KHONG,AMPANG,ChIJfR0vtPA2zDER5eCzRFZj5tY,Pasar Mini Adan Jaya,Ampang,Tier 1,Super - Independent local,coords≤50m,10.0
CT3211005881,TC UNITRADE SDN BHD,KUALA LUMPUR,ChIJTdr-kxw2zDERx9yKJtdCK7c,Wmart,Kuala Lumpur,Tier 1,Super - Indie retail,coords≤50m,12.7
