store_id,store_name,address,city,lat,lng,rating,review_count,phone,tier_class,reckitt_tier,reckitt_score
ChIJs8MH0PVLzDERMV0rPw2JO8M,Caltex Sungai Besi,Lebuhraya Kuala Lumpur - Seremban,Kuala Lumpur,3.0499558,101.7057032,5.0,1664,03-8953 9800,Fuel only,Drop,37.09
ChIJ6VZ3eolIzDERhVc3MY2BxFw,Shell,"417 E1, Km 28.7, Berhampiran Tol Jalan Duta, Jalan Tuanku Abdul Rahman",Kuala Lumpur,3.1635497,101.6984233,4.0,1693,03-6203 6443,Fuel only,Drop,29.74
ChIJzUYQc_22zTERyqEJjYIv1Js,Shell - Cyberjaya,Lingkaran Cyber Point Timur Mukim Dengkil,Cyberjaya,2.917399,101.652279,4.1,893,03-8325 1999,Fuel only,Drop,27.86
ChIJe2s2tpi0zTERGyDPxnui5gs,Petronas Bandar Puteri Puchong,"Lot 5471 & 5473, Lebuh Puteri, Bandar Puteri",Puchong,3.0134371,101.6218624,4.0,580,012-289 0903,Fuel only,Drop,25.46
ChIJQ76aN5xbzDERCl-UqX_11Ls,Shell,Jalan Persiaran Puncak Alam 6,Puncak Alam,3.233653,101.45034,4.1,401,03-5871 0070,Fuel only,Drop,24.59
ChIJE98RVJ5KzDERYAlw4oqx6xI,Shell,"Jalan Teknologi 8, North South Expressway 8",Kuala Lumpur,3.05563,101.704374,4.1,390,017-264 7899,Fuel only,Drop,24.47
ChIJH3rhsvFIzDERdT0BMjJyVf8,Shell,"22, Jalan Sri Hartamas 22, Off, Jalan Bukit Kiara",Kuala Lumpur,3.164073,101.651742,4.0,444,03-6201 5970,Fuel only,Drop,24.39
ChIJzwiRNwRLzDERYyOwZf7WwwM,Shell,"R&r Kinrara L/raya, Lebuhraya Shah Alam Jalan Puchong, Kaw, Shah Alam Expressway",Kuala Lumpur,3.067105,101.653541,4.1,371,03-7783 6330,Fuel only,Drop,24.27
ChIJk6AHv1Y0zDER_sOIfcO9TXo,Shell - Cheras Kajang Highway,"Lot 30672, Lebuhraya Cheras - Kajang",Kajang,3.07584,101.75924,4.0,384,03-9076 8026,Fuel only,Drop,23.81
ChIJg9AMQYCyzTERTmQLc9UJOyI,Shell,"Persiaran Sungai Selangor, Persiaran Sungai Congkak 32/41, Sg Selangor",Shah Alam,2.997302,101.526528,4.0,372,03-5122 6401,Fuel only,Drop,23.69
ChIJGeszvFZRzDERzJ3y5YzsVnU,Shell,"32404, Lot 32460, Jalan Meru",Klang,3.118898,101.44073,4.1,319,03-3393 3293,Fuel only,Drop,23.65
ChIJn6u28TZGzDERs3VPs5fiB4w,Bhpetromart,"1, Jalan Kepong",Kuala Lumpur,3.208119999999999,101.6536,3.8,492,03-6250 6862,Fuel only,Drop,23.56
ChIJrR-wC_BSzDERvCR1NLz2Jco,Shell,"Lebuhraya Persekutuan, Seksyen 1",Shah Alam,3.063155000000001,101.502107,4.1,279,019-215 5585,Fuel only,Drop,23.1
