store_id,store_name,address,city,account,district,region,lat,lng,category,annual_sales_usd,lines_per_store,fsm,covered,source,rating,review_count,price_level,phone,opening_hours,website,poi_count,place_id,business_status,google_types,governorate_group
34910603_CNF1120,FAIDH UNITED TRADING - IZKI,"IZKI, AL DAKHILIYAH,PC:614,POB:184",Izki,TT,,Nizwa,22.94132259,57.75899436,Grocery,311773.118,63.58333333,Jinu,True,portfolio,4.1,8,0,,,,0,ChIJz3VFKwBRjj4RdzndoT_uzhs,,,Balance
34910603_CN90407,AL EZZA HYPERMARKET - SAMAIL,"NORTH BATINAH,SAHAM,PC:319, POB:252",Sumail,TT,,Nizwa,23.29945708,57.95518257,Grocery,289948.171,60.58333333,Jinu,True,portfolio,3.9,349,0,,,,0,ChIJ74nNklNsjj4Rj18Uk1AoxUI,,,Balance
34910603_CN95777,MALMART-NIZWA,"MUSCAT,MUSCAT,1068,121,SULTANATE OF OMAN",Nizwa,MT,,Nizwa,22.88288481,57.54117399,Discounters,177936.28,20.77777778,Jinu,True,portfolio,4.3,679,0,,,,0,ChIJkcVYPsj7jj4R2ltdktdC8xs,,,Balance
34910603_CN90003,SAMA AL KHALEEJ MARKET LLC - ADAM,"NORTH AL SHARQIYA,AL MUDHAIBI,SAMAD ASH SHAN, PC:423, POB:417",Adam,TT,,Nizwa,22.38856561,57.52392227,Grocery,"162,593.92",46.11111111,Jinu,True,portfolio,3.8,410,0,,,,0,ChIJI9AzyTtzjz4ReefVi3mk-Io,,,Balance
34910603_CN95447,STAR GIFT CENTRE NEW LLC - SAMAD,"MUSCAT,123,321,SULTANATE OF OMAN",Samad,MT,,Nizwa,22.58193754,58.12554301,Discounters,147789.282,25.1,Jinu,True,portfolio,4.2,128,0,,,,0,ChIJNfa6AATDjz4RHKHCHOYbyKs,,,Balance
34910603_CNI1037,ISMAILY SHOPPING CENTRE - NIZWA,0,Nizwa,TT,,Nizwa,22.93501489,57.53369637,Grocery,127786.072,0.0,Jinu,True,portfolio,4.4,182,0,,,,0,ChIJ61ChNrfxjj4RPH2FZKlIRpU,,,Balance
34910603_CN91761,ROOH ALAKHWA - BARKAT MOUZ,"AL DAKHILIYA - NIZWA, BARKAT AL MOUZ,PC:45, POB:616",Nizwa,TT,,Nizwa,22.9172674,57.6723753,Self Service,118801.356,0.0,Jinu,True,portfolio,0.0,0,0,,,,0,ChIJXzVrKL1Xjj4RMGFRv474ngU,,,Balance
34910603_CNA1629,ANHAR AL FAYHA HYPER MARKET - SINAW,"MUTTRAH,PC;111, POB:3347",Sinaw,TT,,Nizwa,22.48961044,58.02691712,Grocery,116378.705,31.18181818,Jinu,True,portfolio,3.9,73,0,,,,0,ChIJq6L3ycfrjz4RrKqaugh-Osk,,,Balance
34910603_CN96297,NOOR EXPRESS - AL BURTUMANI,"Sultanate of Oman , Muscat, Bousher, Ghala Al Sanaiah, 130, 1811,0,00000",Nizwa,TT,,Nizwa,22.88750804,57.63480622,Grocery,114578.117,9.857142857,Jinu,True,portfolio,0.0,0,0,,,,0,,,,Balance
34910603_CNA388,AL ABDHALI COLD STORES - MANAH,"AL DAKHILIYA, MANAH,SULTANATE OF OMAN,PC:619, POB:121",Mana,TT,,Nizwa,22.78923816,57.60000744,Grocery,112783.405,52.0,Jinu,True,portfolio,4.3,186,0,,,,0,ChIJlWBtZ63_jj4ReFQPi0bY5KY,,,Balance
34910603_CN92910,AL RAHA HYPER - NIZWA-BARKAT AL MAUZ,"AL DAKHILIYAH,IZKI,IZKI,QALAT AL AWAMER,POB:614, PC:614, SULTANATE FO OMAN",Barkat Mouz,TT,,Nizwa,22.91852753,57.6640654,Self Service,"112,046.05",0.0,Jinu,True,portfolio,4.4,1791,0,,,,0,ChIJNVC82JRXjj4R34xfOV5EcRU,,,Balance
34910603_CNH1286,AL HABSI MARKETS LLC - SAMAIL,"AL DAKHILIA, SAMAIL,PC:620, POB:637",Sumail,WS+IS,,Nizwa,23.2975125,57.95749249,Wholesale,"103,244.22",64.5,Jinu,True,portfolio,4.1,235,0,,,,0,ChIJR5KHufdsjj4R8IbKNXw4yn4,,,Balance
34910603_CN94474,CITY MART - SUMAIL EAST,"AL DAKHILIYAH, IZIKI,PC:614, POB:275",Sumail,MT,,Nizwa,23.29605311,57.94389919,Discounters,100800.151,47.25,Jinu,True,portfolio,4.0,226,0,,,,0,ChIJS65AUGltjj4RT-Yuhd3Xn2Q,,,Balance
34910603_CNW1050,WORLD GIFT MARKETING - IZKI,"AL DAKHILIYAH, IZIKI,PC:614, POB:275",Izki,MT,,Nizwa,22.91544059,57.7415765,Discounters,100749.147,27.44444444,Jinu,True,portfolio,3.9,342,0,,,,0,ChIJN8ST6ClRjj4RUAVJGed8L1w,,,Balance
34910603_CN90382,ANHAR AL FAYHA TRADING  - MUDHAIBI,"MUTTRAH,PC;111, POB:3347",Mudhaibi,TT,,Nizwa,22.58144725,58.12511071,Grocery,99693.438,16.0,Jinu,True,portfolio,3.7,41,0,,,,0,ChIJZ0VneLnDjz4RHilEtEED3PQ,,,Balance
34910603_CNN022,NAGINKUMAR CHHOTALAL TANNA & - NIZWA,"FARQ, AL-DAKHILIYAH, NIZWA PC:611, POB:436",Nizwa,WS+IS,,Nizwa,22.89240555,57.53064926,Wholesale,99546.611,1.0,Jinu,True,portfolio,3.8,17,0,,,,0,ChIJZedV0xT6jj4Rf75-Yc3Yr-w,,,Balance
34910603_CN95033,HOOR AL AIN HYPERMARKET - SINAW,"AL IRAQI,AL RUSTAQ,POB:46,PC:318, SULTANATE OF OMAN",Sinaw,TT,,Nizwa,22.48879916,58.02754342,Self Service,95859.791,27.45454545,Jinu,True,portfolio,4.1,26,0,,,,0,ChIJdwe01CXrjz4RXt9CGuNTOO4,,,Balance
34910603_CN96696,AL IDKHAR GIFT MARKET - ADAM,"ADAM, AL DAKHILIYAH, PC:618, POB:24",Adam,MT,,Nizwa,22.38749871,57.5253893,Discounters,94234.495,6.090909091,Jinu,True,portfolio,4.0,4,0,,,,0,ChIJoVWcMTlzjz4RetfKJlAnFJI,,,Balance
