city,place_id,name,name_norm,address,lat,lng,types,banner,format,reckitt_target
"RECIFE, PE",,Assaí Atacadista,assai atacadista,"Avenida Marechal Mascarenhas de Morais, 2056 - Imbiribeira, Recife",-8.100839599999999,-34.9118576,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",Assaí,Atacarejo,TARGET
"RECIFE, PE",,União Correias,uniao correias,"Rua João Teixeira, 130 - Estância, Recife",-8.085781799999998,-34.9278612,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",Independente / Sem chain identificado,Supermercado,TARGET
"RECIFE, PE",,Supermercado Sttyllo,supermercado sttyllo,"380, Rua Itanagé, 132 - Ipsep, Recife",-8.106200299999998,-34.9204675,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",Sttyllo,Supermercado,TARGET
"RECIFE, PE",,Supermarket Arco - Iris,supermarket arco - iris,"Rua Jean Emile Favre, 840 - Ipsep, Recife",-8.109280700000001,-34.917829,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",Independente / Sem chain identificado,Supermercado,TARGET
"RECIFE, PE",,Supermarket Arco-Mix Areias,supermarket arco-mix areias,"Avenida Doutor José Rufino, 1243 - Barro, Recife",-8.090471299999999,-34.93433869999999,"supermarket,grocery_or_supermarket,storage,store,restaurant,food,point_of_interest,establishment",Arco-Mix / Arco-Íris,Supermercado,TARGET
"RECIFE, PE",,Todo Dia,todo dia,"Estrada dos Remédios, 162 - Afogados, Recife",-8.078743,-34.9065042,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",Independente / Sem chain identificado,Supermercado,TARGET
"RECIFE, PE",,Carrefour Hipermercado Avenida Recife,carrefour hipermercado avenida recife,"Avenida Capitão Gregório de Caldas, 121 - Areias, Recife",-8.097647700000001,-34.9293324,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",Carrefour,Hipermercado / Supermercado,TARGET
"RECIFE, PE",,Sam's Club Recife,sam's club recife,"Avenida Marechal Mascarenhas de Morais, 3402 - Imbiribeira, Recife",-8.114355800000002,-34.91398629999999,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",Sam's Club,Atacarejo,TARGET
"RECIFE, PE",,Casa dos Filtros Ltda,casa dos filtros,"Avenida Pinheiros, 74 - Imbiribeira, Recife",-8.0911163,-34.90932129999999,"supermarket,grocery_or_supermarket,car_repair,store,food,point_of_interest,establishment",Independente / Sem chain identificado,Supermercado,TARGET
"RECIFE, PE",,Capotaria Batista,capotaria batista,"Avenida Marechal Mascarenhas de Morais, 1776 - Imbiribeira, Recife",-8.097638,-34.91020989999999,"furniture_store,supermarket,grocery_or_supermarket,car_repair,home_goods_store,store,food,point_of_interest,establishment",Independente / Sem chain identificado,Loja de Móveis,EXCLUDE
