store_id,place_id,store_name,address,city,region,lat,lng,rating,review_count,price_level,business_status,category,annual_sales_usd,lines_per_store,covered,source,phone,opening_hours,website,poi_count,google_types,vicinity,
ChIJxVts1TuLAjERjuOB9QeMkgw,ChIJxVts1TuLAjERjuOB9QeMkgw,ร้านยา Good Health dispensary (แสมสารเภสัช2),"77, 2, Tambon Samaesarn",Amphoe Sattahip,Chon Buri,12.5985525,100.959243,5,7,0,Active,pharmacy,0,0,FALSE,scraped,093 546 3654,Monday: 8:30 AM – 9:00 PM | Tuesday: 8:30 AM – 9:00 PM | Wednesday: 8:30 AM – 9:00 PM | Thursday: 8:30 AM – 9:00 PM | Friday: 8:30 AM – 9:00 PM | Saturday: 8:30 AM – 9:00 PM | Sunday: 8:30 AM – 9:00 PM,,0,"['pharmacy', 'drugstore', 'health', 'point_of_interest', 'store', 'establishment']","77, 2, Tambon Samaesarn, Amphoe Sattahip",
ChIJM8dGdgAHAzERg0VuCsq-erg,ChIJM8dGdgAHAzERg0VuCsq-erg,Pharmacy,"HFC7+5P7, Phe",Mueang Rayong District,Chon Buri,12.5704011,101.4642927,4,22,0,Active,pharmacy,0,0,FALSE,scraped,,Monday: 9:00 AM – 10:00 PM | Tuesday: 9:00 AM – 10:00 PM | Wednesday: 9:00 AM – 10:00 PM | Thursday: 9:00 AM – 10:00 PM | Friday: 9:00 AM – 10:00 PM | Saturday: 9:00 AM – 10:00 PM | Sunday: 9:00 AM – 10:00 PM,,0,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']","HFC7+5P7, Phe, Mueang Rayong District",
ChIJDTOhwvqLAjERbT7PXv-u3Bs,ChIJDTOhwvqLAjERbT7PXv-u3Bs,Chaiyaporn Phesat,"233, Moo 1, Talad Sattahip Road, Tambon Sattahip, Amphoe Sattahip, Chon Buri",20180,Chon Buri,12.6625,100.899553,0,0,0,Active,pharmacy,0,0,FALSE,scraped,038 437 810,,,0,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","233, Moo 1, Talad Sattahip Road, Tambon Sattahip, Amphoe Sattahip, Chon Buri, 20180",
ChIJN8xXmPqLAjERWS9o0-jY64Y,ChIJN8xXmPqLAjERWS9o0-jY64Y,Chaiyawat Pharmacy,"เภสัช, เลขที่ 97 หมู่ 1 ซอย ชัยวัฒน์, 97 ถนนชายทะเล, Tambon Sattahip",Amphoe Sattahip,Chon Buri,12.6626489,100.9010635,0,0,0,Active,pharmacy,0,0,FALSE,scraped,084 001 1946,Monday: 7:00 AM – 10:30 PM | Tuesday: 7:00 AM – 10:30 PM | Wednesday: 7:00 AM – 10:30 PM | Thursday: 7:00 AM – 10:30 PM | Friday: 7:00 AM – 11:00 PM | Saturday: 7:00 AM – 11:00 PM | Sunday: 7:00 AM – 10:30 PM,,0,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","เภสัช, เลขที่ 97 หมู่ 1 ซอย ชัยวัฒน์, 97 ถนนชายทะเล, Tambon Sattahip, Amphoe Sattahip",
ChIJWYYa-vqLAjERXxRbc3SxVkU,ChIJWYYa-vqLAjERXxRbc3SxVkU,Phisit Pharmacy,"MV7X+CQ7, Sattahip",Sattahip District,Chon Buri,12.663539,100.899432,5,1,0,Active,pharmacy,0,0,FALSE,scraped,,,,0,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","MV7X+CQ7, Sattahip, Sattahip District",
ChIJs1sNEQCLAjERNHNBv0xdUbg,ChIJs1sNEQCLAjERNHNBv0xdUbg,ประภัสสราเภสัช - Prapassara Pharmacy,"0001, 16 ม.1, Tambon Sattahip",Amphoe Sattahip,Chon Buri,12.6627708,100.9026377,5,4,0,Active,pharmacy,0,0,FALSE,scraped,062 938 8255,Monday: 6:00 AM – 8:00 PM | Tuesday: 6:00 AM – 8:00 PM | Wednesday: 6:00 AM – 8:00 PM | Thursday: 6:00 AM – 8:00 PM | Friday: 6:00 AM – 8:00 PM | Saturday: 6:00 AM – 8:00 PM | Sunday: 6:00 AM – 8:00 PM,,0,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","0001, 16 ม.1, Tambon Sattahip, Amphoe Sattahip",
ChIJmyhw__qLAjERlYysU-VxXDs,ChIJmyhw__qLAjERlYysU-VxXDs,Parinya Pharmacy,"434 Thetsaban 7, Tambon Sattahip",Amphoe Sattahip,Chon Buri,12.6639917,100.8994108,0,0,0,Active,pharmacy,0,0,FALSE,scraped,085 802 9339,Monday: 8:00 AM – 8:00 PM | Tuesday: 8:00 AM – 8:00 PM | Wednesday: 8:00 AM – 8:00 PM | Thursday: 8:00 AM – 8:00 PM | Friday: 8:00 AM – 8:00 PM | Saturday: 8:00 AM – 8:00 PM | Sunday: 8:00 AM – 8:00 PM,http://www.facebook.com/druggers,0,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","434 Thetsaban 7, Tambon Sattahip, Amphoe Sattahip",
ChIJkbYtXPqLAjEREdBx8ku8hMY,ChIJkbYtXPqLAjEREdBx8ku8hMY,Sukthavornosot pharmacy,437/4 Thetsaban 7,Amphoe Sattahip,Chon Buri,12.6645999,100.899504,4.6,10,0,Active,pharmacy,0,0,FALSE,scraped,064 436 8988,Monday: 8:00 AM – 7:00 PM | Tuesday: 8:00 AM – 7:00 PM | Wednesday: 8:00 AM – 7:00 PM | Thursday: 8:00 AM – 7:00 PM | Friday: 8:00 AM – 7:00 PM | Saturday: 8:00 AM – 7:00 PM | Sunday: 8:00 AM – 12:00 PM,,0,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","437/4 Thetsaban 7, Amphoe Sattahip",
ChIJh-ICk_uLAjER0mO1WgZiyr4,ChIJh-ICk_uLAjER0mO1WgZiyr4,Charoen Phesat,"431, Sai Klang Road, Tambon Sattahip",Amphoe Sattahip,Chon Buri,12.665316,100.89685,0,0,0,Active,pharmacy,0,0,FALSE,scraped,038 437 226,,,0,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","431, Sai Klang Road, Tambon Sattahip, Amphoe Sattahip",
ChIJBfK21CWMAjERKWIzR-49zyA,ChIJBfK21CWMAjERKWIzR-49zyA,PS Pharmacy,"MW72+X7V, ถนนเขาตาโล, Tambon Sattahip",Amphoe Sattahip,Chon Buri,12.664995,100.90068,0,0,0,Temporarily Closed,pharmacy,0,0,FALSE,scraped,038 437 404,,,0,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","MW72+X7V, ถนนเขาตาโล, Tambon Sattahip, Amphoe Sattahip",
