store_id,store_name,address,postal_code,city,account,district,region,lat,lng,category,annual_sales_usd,lines_per_store,fsm,sr,rating,review_count,price_level,place_id,phone,opening_hours,website,enrichment_attempted
CPD2000012,บริษัทฟู้ดแลนด์ซุปเปอร์มาร์เก็ต จำกัด,190/16 หมู่9 ถนนพัทยากลาง ต.หนองปรือ อ.บางละมุง,20150,Chon Buri,SUPERMARKET,,East,,,SUPERMARKET,"415,759.72",19.08,,CPDC01,,1,,,,,,
CPD2000014,บริษัทฟู้ดแลนด์ซุปเปอร์มาร์เก็ต จำกัด,777 หมู่ที่6 ต.นาเกลือ อ.บางละมุง,20150,Chon Buri,SUPERMARKET,,East,,,SUPERMARKET,"210,748.93",11.83,,CPDC01,,,,,,,,
RBA2000009,บริษัทเบสท์(พัทยา)คอร์เนอร์ จำกัด,500/555 หมู่5 ต.นาเกลือ อ.บางละมุง,20150,Chon Buri,SUPERMARKET,,East,12.951342,100.888435,SUPERMARKET,"247,431.70",22.92,,RBAC02,,,,,,,,
RBA2000010,ร้านค้าสวัสดิการ​ศูนย์​ฝึก​ทหาร​ใหม่​,160/4​ ม.5 ต.บางเสร่ อ.สัตหีบ,20250,Chon Buri,Minimart,,East,13.369755,101.004092,Minimart,"9,195.72",2.67,,RBAC03,,,,,,,,
RBA2000011,ร้านกิจการร้านค้าและการบริการ นย.,ถนนสุขุมวิท ต.สัตหีบ อ.สัตหีบ,20180,Chon Buri,SEMI WHOLESALE,,East,12.675537,100.884027,SEMI WHOLESALE,"274,467.34",27,,RBAC03,,,,,,,,
RBA2000012,บริษัทเฟรนด์ชิพซุปเปอร์มาร์เก็ต จำกัด สำนักงานใหญ่,20/390 หมู่10 ถนนพัทยาใต้ ต.หนองปรือ อ.บางละมุง,20150 (สำนักงานใหญ่),Chon Buri,SUPERMARKET,,East,12.923612,100.879907,SUPERMARKET,"365,810.37",38.83,,RBAC02,,,,,,,,
RBA2000013,ร้านกิจการร้านค้าสวัสดิการภายใน กร.,21 หมู่2 หมู่บ้านกองเรือยุทธการ ต.สัตหีบ อ.สัตหีบ,20180,Chon Buri,SEMI WHOLESALE,,East,12.666206,100.918327,SEMI WHOLESALE,"904,873.78",36.83,,RBAC01,,,,,,,,
RBA2000737,ร้านเฌอมินิมาร์ท,128 หมู่1 ต.บางละมุง อ.บางละมุง,20150,Chon Buri,Minimart,,East,13.019343,100.93328,Minimart,"4,865.56",2.33,,RBAC02,,,,,,,,
RBA2000738,ห้างหุ้นส่วนสามัญ เอส พี มินิมาร์ท,25/49-50 หมู่1 ถนนสุขุมวิท ต.พลูตาหลวง อ.สัตหีบ,20180,Chon Buri,Minimart,,East,12.689707,100.977288,Minimart,"32,367.68",10.25,,RBAC03,,,,,,,,
RBA2000744,หจก.ไพสาร  ใยทองคำ,"148/11,13 หมู่5 ต.สุรศักดิ์ อ.ศรีราชา",20110,Chon Buri,Minimart,,East,13.15615167,100.9746033,Minimart,"51,992.54",3.67,,RBAC02,,,,,,,,
