store_id,store_name,address,category,lat,lng,annual_sales_usd,matched,layer,scrape_id,scrape_name,distance_m,similarity,note
CPD2000012,บริษัทฟู้ดแลนด์ซุปเปอร์มาร์เก็ต จำกัด,190/16 หมู่9 ถนนพัทยากลาง ต.หนองปรือ อ.บางละมุง,SUPERMARKET,,,"415,759.72",no_coords,-,,,,,needs geocoding
CPD2000014,บริษัทฟู้ดแลนด์ซุปเปอร์มาร์เก็ต จำกัด,777 หมู่ที่6 ต.นาเกลือ อ.บางละมุง,SUPERMARKET,,,"210,748.93",no_coords,-,,,,,needs geocoding
RBA2000009,บริษัทเบสท์(พัทยา)คอร์เนอร์ จำกัด,500/555 หมู่5 ต.นาเกลือ อ.บางละมุง,SUPERMARKET,12.951342,100.888435,"247,431.70",covered,3_base_radius_200m,ChIJ1xVAGwC9AjERcE4iBudar_8,Tops Again Pattaya ท็อปส์ อะเกน พัทยา,109,0.08,within base radius (200m) for tier Large
RBA2000010,ร้านค้าสวัสดิการ​ศูนย์​ฝึก​ทหาร​ใหม่​,160/4​ ม.5 ต.บางเสร่ อ.สัตหีบ,Minimart,13.369755,101.004092,"9,195.72",gap,-,ChIJJVXQkL41HTERCH7tpo7yYD4,7-Eleven สาขา ถนนเขาน้อย (ชลบุรี) (10982),135,0.0,"military/welfare commissary (likely not on Google) — nearest pin 135m, sim 0.00"
RBA2000011,ร้านกิจการร้านค้าและการบริการ นย.,ถนนสุขุมวิท ต.สัตหีบ อ.สัตหีบ,SEMI WHOLESALE,12.675537,100.884027,"274,467.34",gap,-,ChIJIcLvYaqOAjERJTzNojmCFZg,7-Eleven,568,0.0,"military/welfare commissary (likely not on Google) — nearest pin 568m, sim 0.00"
RBA2000012,บริษัทเฟรนด์ชิพซุปเปอร์มาร์เก็ต จำกัด สำนักงานใหญ่,20/390 หมู่10 ถนนพัทยาใต้ ต.หนองปรือ อ.บางละมุง,SUPERMARKET,12.923612,100.879907,"365,810.37",covered,3_base_radius_200m,ChIJeZjFRA2WAjERIcp3PUv4kbU,Friendship Supermarket,15,0.0,within base radius (200m) for tier Large
RBA2000013,ร้านกิจการร้านค้าสวัสดิการภายใน กร.,21 หมู่2 หมู่บ้านกองเรือยุทธการ ต.สัตหีบ อ.สัตหีบ,SEMI WHOLESALE,12.666206,100.918327,"904,873.78",gap,-,ChIJY7y6VgCLAjERpgvA5jSsomY,7-eleven,1507,0.0,"military/welfare commissary (likely not on Google) — nearest pin 1507m, sim 0.00"
RBA2000737,ร้านเฌอมินิมาร์ท,128 หมู่1 ต.บางละมุง อ.บางละมุง,Minimart,13.019343,100.93328,"4,865.56",gap,-,ChIJVW7VBNm-AjERyOE2Pathr44,7-Eleven,113,0.0,"nearest pin 113m, sim 0.00"
RBA2000738,ห้างหุ้นส่วนสามัญ เอส พี มินิมาร์ท,25/49-50 หมู่1 ถนนสุขุมวิท ต.พลูตาหลวง อ.สัตหีบ,Minimart,12.689707,100.977288,"32,367.68",covered,3_base_radius_100m,ChIJT_ARmbWMAjERSJU5EeJfcoQ,7-Eleven,65,0.0,within base radius (100m) for tier Medium
RBA2000744,หจก.ไพสาร  ใยทองคำ,"148/11,13 หมู่5 ต.สุรศักดิ์ อ.ศรีราชา",Minimart,13.15615167,100.9746033,"51,992.54",gap,-,ChIJp0CSeQC3AjERy4_0crZwjdM,7-Eleven,1050,0.0,"nearest pin 1050m, sim 0.00"
