store_id,store_name,address,category,lat,lng,annual_sales_usd,matched,layer,scrape_id,scrape_name,distance_m,similarity,nearest_non_7eleven_id,nearest_non_7eleven_name,nearest_non_7eleven_dist_m,review_flag,note
CPD2000012,บริษัทฟู้ดแลนด์ซุปเปอร์มาร์เก็ต จำกัด,190/16 หมู่9 ถนนพัทยากลาง ต.หนองปรือ อ.บางละมุง,SUPERMARKET,,,"415,759.72",no_coords,-,,,,,,,,needs_geocoding,needs geocoding
CPD2000014,บริษัทฟู้ดแลนด์ซุปเปอร์มาร์เก็ต จำกัด,777 หมู่ที่6 ต.นาเกลือ อ.บางละมุง,SUPERMARKET,,,"210,748.93",no_coords,-,,,,,,,,needs_geocoding,needs geocoding
RBA2000009,บริษัทเบสท์(พัทยา)คอร์เนอร์ จำกัด,500/555 หมู่5 ต.นาเกลือ อ.บางละมุง,SUPERMARKET,12.951342,100.888435,"247,431.70",covered,3_base_200m,ChIJ1xVAGwC9AjERcE4iBudar_8,Tops Again Pattaya ท็อปส์ อะเกน พัทยา,109,0.08,ChIJ1xVAGwC9AjERcE4iBudar_8,Tops Again Pattaya ท็อปส์ อะเกน พัทยา,109,auto_matched,"3_base_200m hit at 109m, sim 0.08"
RBA2000010,ร้านค้าสวัสดิการ​ศูนย์​ฝึก​ทหาร​ใหม่​,160/4​ ม.5 ต.บางเสร่ อ.สัตหีบ,Minimart,13.369755,101.004092,"9,195.72",gap,-,,,,,ChIJL2GfLr01HTERcOCsmkANffM,CJ MORE ซีเจ มอร์ สาขาSP บ้านสวน,692,military_or_welfare_not_on_google,welfare/military commissary — usually not on Google Maps; nearest non-7-Eleven pin 692m: CJ MORE ซีเจ มอร์ สาขาSP บ้านสวน
RBA2000011,ร้านกิจการร้านค้าและการบริการ นย.,ถนนสุขุมวิท ต.สัตหีบ อ.สัตหีบ,SEMI WHOLESALE,12.675537,100.884027,"274,467.34",gap,-,,,,,ChIJlaEqeAeMAjERsev_v_CbYHU,Lotus's Sattahip,1610,military_or_welfare_not_on_google,welfare/military commissary — usually not on Google Maps; nearest non-7-Eleven pin 1610m: Lotus's Sattahip
RBA2000012,บริษัทเฟรนด์ชิพซุปเปอร์มาร์เก็ต จำกัด สำนักงานใหญ่,20/390 หมู่10 ถนนพัทยาใต้ ต.หนองปรือ อ.บางละมุง,SUPERMARKET,12.923612,100.879907,"365,810.37",covered,3_base_200m,ChIJeZjFRA2WAjERIcp3PUv4kbU,Friendship Supermarket,15,0.0,ChIJeZjFRA2WAjERIcp3PUv4kbU,Friendship Supermarket,15,auto_matched,"3_base_200m hit at 15m, sim 0.0"
RBA2000013,ร้านกิจการร้านค้าสวัสดิการภายใน กร.,21 หมู่2 หมู่บ้านกองเรือยุทธการ ต.สัตหีบ อ.สัตหีบ,SEMI WHOLESALE,12.666206,100.918327,"904,873.78",gap,-,,,,,ChIJy2RbFAiMAjERBLBHNqtxClE,Lotus's,1636,military_or_welfare_not_on_google,welfare/military commissary — usually not on Google Maps; nearest non-7-Eleven pin 1636m: Lotus's
RBA2000737,ร้านเฌอมินิมาร์ท,128 หมู่1 ต.บางละมุง อ.บางละมุง,Minimart,13.019343,100.93328,"4,865.56",gap,-,,,,,ChIJk5Q9DuC-AjERlWng0A-A8Y4,Mini Big C,791,true_gap,nearest non-7-Eleven pin: 791m (Mini Big C)
RBA2000738,ห้างหุ้นส่วนสามัญ เอส พี มินิมาร์ท,25/49-50 หมู่1 ถนนสุขุมวิท ต.พลูตาหลวง อ.สัตหีบ,Minimart,12.689707,100.977288,"32,367.68",covered,3_base_100m,ChIJT_ARmbWMAjERSJU5EeJfcoQ,7-Eleven,65,0.0,ChIJ5QKFibWMAjER1rfEOm-uPc4,Lotus’s U-Tapao,337,auto_matched,"3_base_100m hit at 65m, sim 0.0"
RBA2000744,หจก.ไพสาร  ใยทองคำ,"148/11,13 หมู่5 ต.สุรศักดิ์ อ.ศรีราชา",Minimart,13.15615167,100.9746033,"51,992.54",gap,-,,,,,ChIJuRsqicG3AjERWxoWdGA2mQc,Focus,1506,true_gap,nearest non-7-Eleven pin: 1506m (Focus)
RBA2000749,หจก.เคเค มินิมาร์ท,591 หมู่11 ต.หนองขาม อ.ศรีราชา,Minimart,13.32784833,101.0098583,"23,607.08",gap,-,,,,,ChIJNc08_tI1HTERBKLuY5EbeBs,CJ MORE ซีเจ มอร์ สาขาหนองข้างคอก,387,true_gap,nearest non-7-Eleven pin: 387m (CJ MORE ซีเจ มอร์ สาขาหนองข้างคอก)
RBA2000752,ร้านดี ดี มาร์ท,85/24 หมู่4 ต.พานทอง อ.พานทอง,Minimart,13.471803,101.09839,"11,291.18",gap,-,,,,,ChIJTY9u6nIxHTERWYe609PaXdY,CJ MORE ซีเจ มอร์ สาขาตลาดนัดชัยมงคล,1000,true_gap,nearest non-7-Eleven pin: 1000m (CJ MORE ซีเจ มอร์ สาขาตลาดนัดชัยมงคล)
RBA2000755,บริษัท ซุปเปอร์มาร์ท (2000) จำกัด สำนักงานใหญ่,"18,20,22 ถนนเจตต์อำนาจ ต.บ้านบึง อ.บ้านบึง",SUPERMARKET,13.311043,101.113748,"110,650.44",covered,3_base_200m,ChIJrRrbLckzHTERjL6h-xdO7X0,7-Eleven สาขา วิฑูรย์ดำริ (06332),41,0.02,ChIJ6wEX_bszHTER2JfyxGiS870,CJ MORE ซีเจ มอร์ สาขาวิฑูรย์ดำริ,358,auto_matched,"3_base_200m hit at 41m, sim 0.02"
RBA2000764,บริษัทสยามอินเตอร์โฮม จำกัด,316/3 หมู่12 ถนนทัพยา ต.หนองปรือ อ.บางละมุง,SUPERMARKET,12.905199,100.869636,"247,572.57",covered,3_base_200m,ChIJT3LoxGCWAjERqauSMdCGvBY,Food Mart,31,0.0,ChIJT3LoxGCWAjERqauSMdCGvBY,Food Mart,31,auto_matched,"3_base_200m hit at 31m, sim 0.0"
RBA2000776,ร้านกล่อมจิตร,187/3 ม.7 ต.พานทอง อ.พานทอง,Minimart,13.472363,101.101128,"32,704.72",gap,-,,,,,ChIJTY9u6nIxHTERWYe609PaXdY,CJ MORE ซีเจ มอร์ สาขาตลาดนัดชัยมงคล,1029,true_gap,nearest non-7-Eleven pin: 1029m (CJ MORE ซีเจ มอร์ สาขาตลาดนัดชัยมงคล)
