store_id,place_id,store_name,banner,format,reckitt_target,exclusion_reason,address,city,region,lat,lng,category,rating,review_count,phone,opening_hours,website,google_types,vicinity,price_level,business_status,annual_sales_usd,lines_per_store,covered,source,poi_count,actual_location,matches_selected_region,geographic_note
ChIJxVts1TuLAjERjuOB9QeMkgw,ChIJxVts1TuLAjERjuOB9QeMkgw,ร้านยา Good Health dispensary (แสมสารเภสัช2),ร้านยา (Independent),Pharmacy (independent),TARGET,,"77, 2, Tambon Samaesarn",Amphoe Sattahip,Chon Buri,12.5985525,100.959243,pharmacy,5,7,093 546 3654,Monday: 8:30 AM – 9:00 PM | Tuesday: 8:30 AM – 9:00 PM | Wednesday: 8:30 AM – 9:00 PM | Thursday: 8:30 AM – 9:00 PM | Friday: 8:30 AM – 9:00 PM | Saturday: 8:30 AM – 9:00 PM | Sunday: 8:30 AM – 9:00 PM,,"['pharmacy', 'drugstore', 'health', 'point_of_interest', 'store', 'establishment']","77, 2, Tambon Samaesarn, Amphoe Sattahip",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJDTOhwvqLAjERbT7PXv-u3Bs,ChIJDTOhwvqLAjERbT7PXv-u3Bs,Chaiyaporn Phesat,Independent (no name keyword),Pharmacy (independent),TARGET,,"233, Moo 1, Talad Sattahip Road, Tambon Sattahip, Amphoe Sattahip, Chon Buri",20180,Chon Buri,12.6625,100.899553,pharmacy,0,0,038 437 810,,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","233, Moo 1, Talad Sattahip Road, Tambon Sattahip, Amphoe Sattahip, Chon Buri, 20180",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJN8xXmPqLAjERWS9o0-jY64Y,ChIJN8xXmPqLAjERWS9o0-jY64Y,Chaiyawat Pharmacy,Independent,Pharmacy (independent),TARGET,,"เภสัช, เลขที่ 97 หมู่ 1 ซอย ชัยวัฒน์, 97 ถนนชายทะเล, Tambon Sattahip",Amphoe Sattahip,Chon Buri,12.6626489,100.9010635,pharmacy,0,0,084 001 1946,Monday: 7:00 AM – 10:30 PM | Tuesday: 7:00 AM – 10:30 PM | Wednesday: 7:00 AM – 10:30 PM | Thursday: 7:00 AM – 10:30 PM | Friday: 7:00 AM – 11:00 PM | Saturday: 7:00 AM – 11:00 PM | Sunday: 7:00 AM – 10:30 PM,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","เภสัช, เลขที่ 97 หมู่ 1 ซอย ชัยวัฒน์, 97 ถนนชายทะเล, Tambon Sattahip, Amphoe Sattahip",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJWYYa-vqLAjERXxRbc3SxVkU,ChIJWYYa-vqLAjERXxRbc3SxVkU,Phisit Pharmacy,Independent,Pharmacy (independent),TARGET,,"MV7X+CQ7, Sattahip",Sattahip District,Chon Buri,12.663539,100.899432,pharmacy,5,1,,,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","MV7X+CQ7, Sattahip, Sattahip District",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJs1sNEQCLAjERNHNBv0xdUbg,ChIJs1sNEQCLAjERNHNBv0xdUbg,ประภัสสราเภสัช - Prapassara Pharmacy,เภสัช (Independent),Pharmacy (independent),TARGET,,"0001, 16 ม.1, Tambon Sattahip",Amphoe Sattahip,Chon Buri,12.6627708,100.9026377,pharmacy,5,4,062 938 8255,Monday: 6:00 AM – 8:00 PM | Tuesday: 6:00 AM – 8:00 PM | Wednesday: 6:00 AM – 8:00 PM | Thursday: 6:00 AM – 8:00 PM | Friday: 6:00 AM – 8:00 PM | Saturday: 6:00 AM – 8:00 PM | Sunday: 6:00 AM – 8:00 PM,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","0001, 16 ม.1, Tambon Sattahip, Amphoe Sattahip",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJmyhw__qLAjERlYysU-VxXDs,ChIJmyhw__qLAjERlYysU-VxXDs,Parinya Pharmacy,Independent,Pharmacy (independent),TARGET,,"434 Thetsaban 7, Tambon Sattahip",Amphoe Sattahip,Chon Buri,12.6639917,100.8994108,pharmacy,0,0,085 802 9339,Monday: 8:00 AM – 8:00 PM | Tuesday: 8:00 AM – 8:00 PM | Wednesday: 8:00 AM – 8:00 PM | Thursday: 8:00 AM – 8:00 PM | Friday: 8:00 AM – 8:00 PM | Saturday: 8:00 AM – 8:00 PM | Sunday: 8:00 AM – 8:00 PM,http://www.facebook.com/druggers,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","434 Thetsaban 7, Tambon Sattahip, Amphoe Sattahip",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJkbYtXPqLAjEREdBx8ku8hMY,ChIJkbYtXPqLAjEREdBx8ku8hMY,Sukthavornosot pharmacy,Independent,Pharmacy (independent),TARGET,,437/4 Thetsaban 7,Amphoe Sattahip,Chon Buri,12.6645999,100.899504,pharmacy,4.6,10,064 436 8988,Monday: 8:00 AM – 7:00 PM | Tuesday: 8:00 AM – 7:00 PM | Wednesday: 8:00 AM – 7:00 PM | Thursday: 8:00 AM – 7:00 PM | Friday: 8:00 AM – 7:00 PM | Saturday: 8:00 AM – 7:00 PM | Sunday: 8:00 AM – 12:00 PM,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","437/4 Thetsaban 7, Amphoe Sattahip",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJh-ICk_uLAjER0mO1WgZiyr4,ChIJh-ICk_uLAjER0mO1WgZiyr4,Charoen Phesat,Independent (no name keyword),Pharmacy (independent),TARGET,,"431, Sai Klang Road, Tambon Sattahip",Amphoe Sattahip,Chon Buri,12.665316,100.89685,pharmacy,0,0,038 437 226,,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","431, Sai Klang Road, Tambon Sattahip, Amphoe Sattahip",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJBfK21CWMAjERKWIzR-49zyA,ChIJBfK21CWMAjERKWIzR-49zyA,PS Pharmacy,Independent,Pharmacy (independent),TARGET,,"MW72+X7V, ถนนเขาตาโล, Tambon Sattahip",Amphoe Sattahip,Chon Buri,12.664995,100.90068,pharmacy,0,0,038 437 404,,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']","MW72+X7V, ถนนเขาตาโล, Tambon Sattahip, Amphoe Sattahip",0,Temporarily Closed,0,0,FALSE,scraped,0,Chon Buri,YES,
ChIJnaT8_QkHAzERuTVPhAi02D4,ChIJnaT8_QkHAzERuTVPhAi02D4,Pharmacia Lotus บ้านเพติดถนนมองเห็นเกาะเสม็ด,Independent (no name keyword),Pharmacy (independent),TARGET,,"310/, หนองบัว ซอย 6 ตำบลเพ Banphe",อำเภอเมืองระยอง,Chon Buri,12.6296998,101.4455716,pharmacy,2.4,5,095 765 8142,Monday: 10:00 AM – 8:00 PM | Tuesday: 10:00 AM – 8:00 PM | Wednesday: 10:00 AM – 8:00 PM | Thursday: 10:00 AM – 8:00 PM | Friday: 10:00 AM – 8:00 PM | Saturday: 10:00 AM – 12:00 AM | Sunday: 10:00 AM – 12:00 AM,,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']","310/, หนองบัว ซอย 6 ตำบลเพ Banphe, อำเภอเมืองระยอง",0,Active,0,0,FALSE,scraped,0,Chon Buri,YES,
